amount,block_trade_id,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
1.7,,,,sell,26890.92,BTC-2JUN23-26500-P,39.77,0.02344861,0.023,2,1684540790677,255383063,145
1.7,,,,sell,26891.04,BTC-2JUN23-26500-C,39.2,0.03886932,0.038,2,1684540788283,255383062,149
1.0,,,,sell,26891.12,BTC-20MAY23-27250-C,34.24,0.00057336,0.0005,3,1684540656848,255383047,212
10.0,,,,sell,26879.35,BTC-22MAY23-25500-P,38.13,0.0007512,0.0005,3,1684540359804,255382921,16
10.0,,,,sell,26879.73,BTC-21MAY23-26000-P,34.83,0.00075926,0.0005,3,1684540351268,255382920,136
1.0,,,,buy,26880.46,BTC-21MAY23-26500-P,28.84,0.00197113,0.002,3,1684540327306,255382919,57
3.7,,,,buy,26883.82,BTC-28JUL23-30000-C,45.38,0.03855654,0.0385,3,1684540278402,255382913,381
0.3,,,,sell,26885.74,BTC-20MAY23-27000-C,30.36,0.0020596,0.002,3,1684540276216,255382906,240
1.2,,,,sell,26888.37,BTC-30JUN23-28000-C,44.18,0.04247648,0.0425,3,1684540275432,255382899,1981
1.0,,,,sell,26892.67,BTC-2JUN23-27000-C,39.39,0.02880692,0.0285,3,1684540264674,255382880,773
1.0,,,,sell,26894.62,BTC-26MAY23-27000-C,37.21,0.01820414,0.018,0,1684540209129,255382875,1902
0.3,,,,sell,26895.72,BTC-20MAY23-26500-P,37.11,0.00071606,0.0005,3,1684540184333,255382873,203
0.1,,,,buy,26896.73,BTC-9JUN23-31000-C,46.43,0.00556324,0.0055,3,1684540094627,255382870,56
0.6,,,,sell,26907.22,BTC-21MAY23-26750-P,24.81,0.00358593,0.0035,2,1684539915468,255382835,117
10.0,,,,sell,26901.57,BTC-22MAY23-28500-C,40.37,0.00073211,0.0005,3,1684539911426,255382820,50
5.0,,,,sell,26896.79,BTC-21MAY23-28000-C,39.86,0.0007253,0.0005,3,1684539872000,255382798,51
0.2,,,,sell,26891.03,BTC-26MAY23-26500-P,37.57,0.01334605,0.013,2,1684539316496,255382769,108
0.8,,,,sell,26897.44,BTC-21MAY23-27750-C,38.29,0.00074256,0.001,3,1684539267295,255382752,48
0.1,,,,buy,26896.6,BTC-29DEC23-60000-C,59.48,0.01275414,0.0125,0,1684538677781,255382671,527
0.8,,,,sell,26878.19,BTC-21MAY23-27000-C,26.41,0.00450494,0.0045,3,1684538418219,255382501,109
0.1,,,,sell,26890.65,BTC-2JUN23-30000-C,44.98,0.00502191,0.0045,2,1684538215606,255382336,342
0.1,,,,buy,26891.09,BTC-9JUN23-29500-C,43.54,0.0111149,0.011,3,1684538197703,255382334,37
0.1,,,,sell,26891.19,BTC-21MAY23-27000-P,25.97,0.00863204,0.0085,1,1684538193882,255382322,69
1.7,,,,sell,26872.9,BTC-26MAY23-29000-C,45.06,0.00322562,0.003,3,1684538046674,255382194,2613
0.1,,,,sell,26879.12,BTC-29SEP23-26000-P,47.8,0.09495061,0.0945,0,1684537759614,255382028,240
0.1,,,,sell,26883.5,BTC-22MAY23-26750-C,28.54,0.01201043,0.012,2,1684537647285,255381860,25
2.9,,,,buy,26878.1,BTC-9JUN23-27500-C,41.54,0.02935927,0.0295,3,1684537412872,255381385,7
0.1,,,,sell,26877.97,BTC-26MAY23-25000-P,44.83,0.0032301,0.003,3,1684537233499,255381337,1969
0.3,,,,buy,26874.13,BTC-30JUN23-40000-C,62.7,0.00292191,0.003,0,1684536819318,255381273,2946
0.4,,,,sell,26874.95,BTC-20MAY23-26750-P,30.31,0.00236803,0.002,1,1684536666950,255381269,337
