amount,block_trade_id,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.5,,,,sell,26326.26,BTC-26MAY23-28000-C,56.48,,0.00069216,0.0005,3,1684972722863,255811189,4256
0.2,,,,buy,26328.52,BTC-30JUN23-31000-C,50.59,,0.01414113,0.014,3,1684972678471,255811182,1862
0.1,,,,buy,26330.63,BTC-30JUN23-33000-C,55.08,,0.00866993,0.009,1,1684972666574,255811179,1473
0.1,,,,sell,26331.95,BTC-26MAY23-26250-C,36.44,,0.0109381,0.0105,2,1684972662040,255811177,98
0.2,,,,sell,26333.9,BTC-25MAY23-26250-P,32.21,,0.00279912,0.0025,1,1684972425920,255810973,171
0.1,,,,sell,26337.08,BTC-25MAY23-26750-C,38.32,,0.00067268,0.0005,3,1684972372458,255810943,198
1.0,,,,sell,26353.7,BTC-2JUN23-27000-C,43.19,,0.0160279,0.016,3,1684972224378,255810812,1875
10.0,,,,sell,26359.63,BTC-26MAY23-26000-P,38.57,,0.00440149,0.004,2,1684972197237,255810766,2892
1.0,,,,sell,26357.42,BTC-9JUN23-26500-C,43.74,,0.03381095,0.0335,3,1684971904567,255810476,159
0.1,,,,buy,26356.5,BTC-25MAY23-26250-C,38.47,,0.00674756,0.007,1,1684971886045,255810462,56
0.9,,,,sell,26350.26,BTC-30JUN23-29000-C,47.34,,0.02494728,0.025,3,1684971812109,255810328,2186
1.8,,,,buy,26352.29,BTC-30JUN23-32000-C,53.24,,0.01059949,0.0115,0,1684971430312,255810095,1854
0.5,,,,buy,26352.3,BTC-26MAY23-27000-C,42.79,,0.00234388,0.0025,3,1684971417199,255810050,2447
2.0,,,,buy,26353.59,BTC-28JUL23-32000-C,48.66,,0.02057712,0.021,0,1684971398738,255809944,418
1.0,,,,sell,26337.91,BTC-26MAY23-26750-C,37.96,,0.00376737,0.0035,3,1684971296945,255809651,111
1.0,,,,sell,26333.55,BTC-26MAY23-27500-C,48.99,,0.00108428,0.001,3,1684971236515,255809633,616
0.1,,,,sell,26334.53,BTC-2JUN23-27500-C,42.63,,0.01046325,0.01,2,1684971168804,255809626,911
0.1,,,,sell,26326.45,BTC-26MAY23-28250-C,62.53,,0.00057531,0.0005,3,1684970997290,255809561,206
0.8,,,,sell,26324.87,BTC-28JUL23-29000-C,45.49,,0.04079972,0.04,2,1684970991186,255809550,259
0.7,,,,sell,26341.19,BTC-29SEP23-27000-C,47.32,,0.103337,0.103,1,1684970847504,255809401,306
0.1,,,,sell,26353.35,BTC-2JUN23-25500-P,44.24,,0.01350526,0.013,0,1684970580549,255809228,227
0.1,,,,sell,26384.44,BTC-27MAY23-26250-C,39.61,,0.01562251,0.0155,0,1684969962324,255809035,21
0.8,,,,buy,26352.08,BTC-25MAY23-26000-P,40.74,,0.00100747,0.001,3,1684969506988,255808767,254
0.6,,,,sell,26347.85,BTC-27MAY23-28500-C,51.46,,0.00072335,0.0005,3,1684969240501,255808724,46
4.7,,,,sell,26339.33,BTC-28JUL23-23000-P,50.12,,0.03049315,0.03,2,1684969164748,255808695,142
0.8,,,,sell,26369.93,BTC-27MAY23-26000-P,41.99,,0.0074188,0.0075,1,1684968848151,255808566,38
3.4,,,,buy,26341.39,BTC-29SEP23-35000-C,50.12,,0.03118883,0.0315,0,1684968589516,255808436,1281
3.6,,,,sell,26344.68,BTC-30JUN23-40000-C,65.08,,0.00235501,0.002,3,1684968542077,255808414,2978
5.0,,,,buy,26344.95,BTC-30JUN23-22000-P,56.41,,0.01327733,0.013,2,1684968518733,255808411,1477
0.1,,,,sell,26351.03,BTC-30JUN23-26000-P,46.03,,0.05113971,0.0505,1,1684968387421,255808375,1741
0.1,,,,sell,26345.96,BTC-30JUN23-28000-C,46.48,,0.03446297,0.0345,3,1684968366062,255808354,2262
0.1,,,,sell,26338.34,BTC-26MAY23-26250-P,37.64,,0.00773266,0.0075,3,1684968240376,255808334,294
0.2,,,,sell,26344.32,BTC-9JUN23-22000-P,61.71,,0.00424988,0.004,3,1684968133346,255808321,118
0.4,,,,sell,26320.56,BTC-2JUN23-29000-C,48.73,,0.0035916,0.0035,3,1684968012908,255808216,452
0.6,,,,sell,26313.58,BTC-30JUN23-22000-C,57.26,,0.17881234,0.179,1,1684967913675,255808161,576
0.1,,,,buy,26321.54,BTC-26MAY23-25750-P,43.21,,0.00299741,0.003,3,1684967843518,255808097,53
0.5,,,,buy,26350.3,BTC-26MAY23-23000-P,108.99,,3.152e-05,0.0005,3,1684967526400,255807895,1460
2.0,,,,sell,26354.81,BTC-9JUN23-22500-P,59.1,,0.00525121,0.005,3,1684967502484,255807885,87
0.2,,,,sell,26354.94,BTC-26MAY23-26500-C,37.95,,0.00715673,0.007,3,1684967478532,255807864,293
1.0,,,,sell,26341.01,BTC-30JUN23-36000-C,59.62,,0.00429924,0.0045,3,1684967412161,255807780,640
0.8,,,,sell,26346.13,BTC-26MAY23-26500-P,38.04,,0.0126017,0.0125,0,1684967352887,255807724,590
0.1,,,,sell,26356.89,BTC-25MAY23-26500-C,35.62,,0.00271,0.0025,2,1684967245123,255807655,128
0.1,,,,buy,26356.83,BTC-25MAY23-29000-C,148.42,,4e-08,0.0005,3,1684967232384,255807654,35
0.2,,,,buy,26356.18,BTC-27MAY23-26750-C,39.99,,0.00679048,0.007,2,1684967222450,255807653,14
0.1,,,,buy,26356.38,BTC-25MAY23-28500-C,125.73,,1.15e-06,0.0005,3,1684967211484,255807652,51
0.1,,,,buy,26372.34,BTC-25MAY23-27250-C,62.22,,0.00043129,0.0005,3,1684967143851,255807538,290
0.2,,,,buy,26381.32,BTC-2JUN23-23000-P,60.52,,0.00235723,0.0025,3,1684967070946,255807506,146
0.2,,,,buy,26397.98,BTC-9JUN23-28500-C,47.29,,0.01217075,0.0125,1,1684966755609,255807341,154
0.3,,,,buy,26382.01,BTC-29SEP23-16000-P,63.06,,0.01096984,0.0115,1,1684966625638,255807280,430
0.6,,,,buy,26379.94,BTC-28JUL23-50000-P,68.35,,0.89152292,0.892,0,1684966584959,255807277,4
0.4,,,,sell,26375.62,BTC-30JUN23-30000-C,48.45,,0.01905757,0.0185,2,1684966402583,255807245,4791
