amount,block_trade_id,combo_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.5,,,sell,26872.77,BTC-9JUN23-23500-P,51.13,0.00321026,0.003,3,1685231943064,256041189,197
1.3,,,buy,26872.77,BTC-28MAY23-26750-C,26.5,0.00585219,0.006,1,1685231942099,256041188,254
1.0,,,sell,26866.28,BTC-28JUL23-35000-C,45.19,0.00796136,0.0075,2,1685231769397,256041164,185
0.1,,,sell,26853.69,BTC-28MAY23-26500-P,34.24,0.0005618,0.0005,3,1685231522581,256041095,218
0.1,,,sell,26861.14,BTC-28MAY23-27000-C,17.75,0.00116908,0.0005,2,1685231361678,256040980,304
1.0,,,sell,26867.41,BTC-9JUN23-28500-C,38.77,0.00834676,0.0085,0,1685231290819,256040941,232
0.6,,,sell,26861.89,BTC-9JUN23-26000-P,38.49,0.01461045,0.0145,3,1685231238494,256040929,258
0.1,,,sell,26875.42,BTC-9JUN23-31000-C,47.35,0.00229065,0.002,3,1685231033216,256040792,415
0.2,,,sell,26884.24,BTC-30JUN23-22000-C,55.24,0.19010201,0.191,0,1685231000603,256040781,581
0.1,,,buy,26881.25,BTC-29MAY23-27000-P,25.14,0.00847024,0.0085,2,1685230962927,256040716,19
0.3,,,sell,26884.88,BTC-9JUN23-26500-C,37.12,0.03530776,0.035,1,1685230952263,256040683,707
2.0,,,sell,26889.3,BTC-30JUN23-21000-P,56.79,0.00515161,0.005,3,1685230944302,256040648,1374
0.1,,,sell,26893.67,BTC-30JUN23-22000-P,52.7,0.00732439,0.007,2,1685230912512,256040596,1578
0.1,,,sell,26889.74,BTC-2JUN23-29000-C,37.83,0.00135025,0.001,3,1685230890624,256040559,896
0.3,,,sell,26889.36,BTC-2JUN23-25000-P,44.09,0.00228452,0.002,2,1685230884665,256040557,488
0.2,,,sell,26875.59,BTC-30JUN23-31000-C,41.83,0.00921699,0.009,3,1685230873312,256040542,2076
0.2,,,buy,26886.84,BTC-29MAY23-27250-C,28.06,0.00208728,0.002,1,1685230867223,256040489,67
0.1,,,buy,26886.84,BTC-29MAY23-26750-C,26.7,0.00874935,0.009,0,1685230866850,256040473,87
2.5,,,buy,26886.84,BTC-30JUN23-27000-C,39.92,0.04505442,0.0465,0,1685230866838,256040470,1752
16.0,,,buy,26886.84,BTC-25AUG23-32000-C,41.97,0.02574013,0.026,1,1685230866733,256040460,20
0.7,,,sell,26870.17,BTC-9JUN23-25500-P,39.84,0.0103704,0.01,3,1685230866019,256040396,244
1.8,,,buy,26870.17,BTC-9JUN23-27500-C,36.39,0.01693086,0.017,1,1685230866008,256040394,250
0.1,,,sell,26870.17,BTC-29DEC23-40000-C,48.99,0.03575781,0.036,0,1685230865755,256040356,906
0.1,,,buy,26870.17,BTC-29MAY23-27000-C,25.84,0.00381614,0.004,0,1685230865693,256040348,115
4.4,,,sell,26856.38,BTC-30MAY23-26000-P,36.91,0.00213686,0.002,3,1685230865563,256040318,23
0.7,,,sell,26856.38,BTC-29MAY23-26750-P,26.07,0.00437453,0.0045,3,1685230865091,256040260,86
0.1,,,sell,26855.26,BTC-9JUN23-28000-C,36.96,0.01162012,0.0115,0,1685230856922,256040196,446
