amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,,buy,25125.8,BTC-23JUN23-22500-P,55.84,,0.00330823,0.0035,3,1686787193142,258069895,339
0.1,,,,,sell,25125.85,BTC-15JUN23-24500-P,56.23,,0.00077042,0.0005,2,1686787179360,258069881,202
0.1,,,,,sell,25125.44,BTC-30JUN23-24000-P,41.86,,0.01590028,0.0155,2,1686787163894,258069868,3143
0.1,,,,,sell,25125.81,BTC-15JUN23-25000-P,42.81,,0.0035005,0.003,3,1686787059353,258069860,300
0.4,,,,,sell,25121.09,BTC-16JUN23-25250-P,39.32,,0.01254537,0.012,2,1686786986721,258069853,61
0.2,,,,,buy,25129.1,BTC-28JUL23-30000-C,43.82,,0.00960649,0.01,0,1686786787758,258069793,1288
0.2,,,,,sell,25127.48,BTC-25AUG23-21000-P,46.03,,0.01883509,0.0185,2,1686786739513,258069792,128
0.5,,,,,buy,25128.45,BTC-29DEC23-30000-C,44.96,,0.07081265,0.071,0,1686786566104,258069640,973
0.2,,,,,buy,25123.21,BTC-23JUN23-25500-C,38.56,,0.01672271,0.017,1,1686786545700,258069625,333
0.1,,,,,buy,25120.28,BTC-15JUN23-25250-C,42.06,,0.00315995,0.003,1,1686786527819,258069616,72
0.2,,,,,buy,25115.8,BTC-30JUN23-25000-C,38.9,,0.03476575,0.0345,0,1686786460212,258069611,2123
0.4,,,,,buy,25113.13,BTC-15JUN23-25500-C,45.77,,0.00092169,0.001,3,1686786457356,258069604,108
0.1,,,,,sell,25096.37,BTC-23JUN23-27000-C,39.95,,0.00379734,0.0035,2,1686786349010,258069474,1119
0.1,,,,,buy,25105.53,BTC-23JUN23-25500-P,38.13,,0.03149029,0.0315,2,1686786294763,258069446,539
0.2,,,,,sell,25103.02,BTC-16JUN23-25500-C,40.3,,0.00430803,0.004,1,1686786210168,258069393,437
0.1,,,,,sell,25100.33,BTC-17JUN23-22500-P,69.85,,0.00069324,0.0005,2,1686786176907,258069390,3
0.5,,,,,buy,25093.73,BTC-30JUN23-27500-C,42.5,,0.00677234,0.007,1,1686786153038,258069377,587
0.1,,,,,sell,25085.27,BTC-16JUN23-25750-C,41.21,,0.00245366,0.002,2,1686786109834,258069368,38
1.0,,,,,sell,25069.8,BTC-30JUN23-26000-C,39.05,,0.01739602,0.0175,1,1686786057395,258069336,2257
1.0,,,,,sell,25092.72,BTC-29DEC23-5000-P,100.39,,0.00144139,0.0015,0,1686786044789,258069288,204
0.2,,,,,buy,25092.62,BTC-29DEC23-11000-P,69.62,,0.00636328,0.007,0,1686786044134,258069260,128
16.0,BLOCK-78840,2,BTC-PSR12-23JUN23-24000_23000,,buy,25094.75,BTC-23JUN23-24000-P,44.81,,0.00935585,0.01,0,1686786008793,258069258,452
32.0,BLOCK-78840,2,BTC-PSR12-23JUN23-24000_23000,,sell,25094.75,BTC-23JUN23-23000-P,51.68,,0.00470886,0.0049,2,1686786008793,258069259,281
0.2,,,,,buy,25094.41,BTC-29SEP23-14000-P,68.82,,0.00595916,0.0065,0,1686785998005,258069257,296
0.1,,,,,sell,25093.17,BTC-25AUG23-31000-C,42.78,,0.01457603,0.0145,3,1686785977978,258069252,219
0.2,,,,,sell,25087.05,BTC-30JUN23-25000-P,38.66,,0.02996687,0.0295,3,1686785957610,258069240,3340
0.5,,,,,buy,25086.18,BTC-16JUN23-24500-P,52.11,,0.00368664,0.004,0,1686785893696,258069227,1135
1.0,,,,,buy,25088.06,BTC-28JUL23-25000-C,38.76,,0.05637576,0.056,3,1686785883756,258069226,93
4.5,,,,,buy,25075.22,BTC-23JUN23-26000-C,39.74,,0.00993865,0.0105,1,1686785773760,258069187,878
0.5,,,,,buy,25087.65,BTC-30JUN23-26000-P,37.97,,0.05324304,0.0525,2,1686785635974,258069103,3403
1.0,,,,,sell,25090.19,BTC-30JUN23-29000-C,46.74,,0.00338335,0.003,3,1686785599896,258069088,3731
0.5,,,,,buy,25087.84,BTC-30JUN23-30000-C,54.94,,0.00255711,0.003,0,1686785595016,258069082,6575
1.0,,,,,sell,25086.5,BTC-16JUN23-23000-P,75.88,,0.00068484,0.0005,3,1686785588212,258069081,516
1.1,,,,,sell,25088.66,BTC-16JUN23-25000-C,42.93,,0.01256386,0.0125,1,1686785550443,258069030,356
0.5,,,,,sell,25086.64,BTC-28JUL23-50000-C,76.07,,0.00072449,0.0005,3,1686785526108,258069019,88
2.3,,,,,sell,25087.81,BTC-29SEP23-50000-C,63.16,,0.00429425,0.004,3,1686785492936,258069017,968
11.0,,,,,sell,25078.56,BTC-29SEP23-60000-C,71.36,,0.00275026,0.0025,3,1686785462128,258069005,869
0.1,,,,,sell,25072.57,BTC-16JUN23-25250-C,40.73,,0.00731326,0.007,1,1686785415061,258068992,27
10.0,,,,,buy,25075.19,BTC-28JUL23-23000-P,43.05,,0.02386376,0.024,3,1686785346589,258068964,512
3.2,,,,,sell,25061.76,BTC-29DEC23-20000-P,47.45,,0.04525531,0.045,1,1686785282479,258068952,542
3.0,,,,,sell,25067.08,BTC-16JUN23-25000-P,41.71,,0.00899467,0.0085,2,1686785235593,258068901,1545
6.0,,,,,buy,25072.23,BTC-15JUN23-25750-C,55.94,,0.00049072,0.0005,3,1686785132832,258068831,652
0.1,,,,,buy,25068.98,BTC-15JUN23-25000-C,48.01,,0.00766153,0.0075,2,1686785123941,258068826,81
1.0,,,,,buy,25075.67,BTC-30JUN23-24500-C,40.01,,0.04583248,0.0455,2,1686785077812,258068780,3
0.1,,,,,sell,25089.79,BTC-29DEC23-60000-C,64.6,,0.00980847,0.01,3,1686785045411,258068729,587
0.1,,,,,sell,25096.77,BTC-16JUN23-26500-C,50.34,,0.00081209,0.0005,2,1686785030022,258068695,1318
2.5,,,,,buy,25095.99,BTC-29SEP23-26000-C,40.89,,0.07516487,0.0755,0,1686785022620,258068694,251
0.1,,,,,buy,25094.5,BTC-29DEC23-50000-C,58.74,,0.01425361,0.015,1,1686785020248,258068693,743
1.0,,,,,buy,25093.49,BTC-23JUN23-26500-C,40.4,,0.00631488,0.0065,0,1686784993414,258068690,987
0.1,,,,,sell,25093.44,BTC-29MAR24-50000-C,53.72,,0.02580722,0.024,2,1686784988672,258068689,212
0.4,,,,,sell,25089.32,BTC-16JUN23-26250-C,50.24,,0.00103323,0.001,3,1686784982586,258068688,37
6.3,BLOCK-78836,3,BTC-CBUT-15JUN23-24500_25000_25500,,buy,25081.21,BTC-15JUN23-24500-C,86.47,,0.02453712,0.0262,0,1686784888387,258068612,2
1.5,,,,,sell,25079.27,BTC-30JUN23-25500-P,38.01,,0.0407926,0.04,0,1686784851681,258068581,150
1.0,,,,,buy,25078.84,BTC-28JUL23-25000-P,39.11,,0.05112822,0.051,2,1686784847833,258068573,1115
1.3,,,,,buy,25079.91,BTC-16JUN23-26500-P,0.0,,0.05677594,0.056,1,1686784838599,258068561,1028
0.1,,,,,sell,25088.06,BTC-30JUN23-28000-C,43.37,,0.00524599,0.005,2,1686784830209,258068539,4062
0.6,,,,,sell,25083.14,BTC-28JUL23-26000-P,38.36,,0.07329776,0.0725,3,1686784805966,258068528,809
0.1,,,,,sell,25079.59,BTC-23JUN23-25000-C,38.25,,0.02530323,0.025,0,1686784779145,258068494,52
0.1,,,,,sell,25060.76,BTC-30JUN23-23000-P,48.25,,0.00989068,0.01,1,1686784754226,258068380,2845
0.1,,,,,sell,25051.31,BTC-23JUN23-26000-P,38.67,,0.04707298,0.047,3,1686784726030,258068312,647
0.3,,,,,buy,25036.38,BTC-25AUG23-30000-C,41.59,,0.01798023,0.018,3,1686784628986,258068284,320
0.1,,,,,sell,25028.43,BTC-29SEP23-25000-P,40.94,,0.08396057,0.0835,2,1686784542101,258068258,576
25.0,BLOCK-78835,1,,,sell,25028.49,BTC-28JUL23-26000-C,38.43,,0.03815529,0.0376,2,1686784541386,258068257,466
0.1,,,,,sell,25029.67,BTC-29SEP23-33000-C,44.85,,0.01888502,0.0185,3,1686784499362,258068204,461
1.0,,,,,buy,25031.24,BTC-16JUN23-23500-C,69.15,,0.06312755,0.063,2,1686784494496,258068197,19
0.1,,,,,sell,25045.04,BTC-16JUN23-24500-C,50.54,,0.02651335,0.0265,3,1686784452875,258068167,19
0.3,,,,,sell,25046.48,BTC-23JUN23-22000-P,58.07,,0.00269279,0.0025,2,1686784452276,258068153,245
0.1,,,,,buy,25041.06,BTC-29SEP23-27000-C,40.64,,0.05979003,0.0595,3,1686784393884,258068129,451
0.1,,,,,sell,25046.69,BTC-29DEC23-55000-C,60.8,,0.01163278,0.011,2,1686784320859,258068092,299
0.1,,,,,sell,25046.48,BTC-29DEC23-45000-C,54.41,,0.01836036,0.018,2,1686784318282,258068091,499
12.5,BLOCK-78832,2,BTC-PS-28JUL23-23000_20000,,buy,25041.18,BTC-28JUL23-20000-P,54.72,,0.00937904,0.0093,3,1686784175727,258067909,419
0.4,,,,,sell,25039.26,BTC-16JUN23-25500-P,38.06,,0.02201237,0.021,3,1686784102479,258067706,1711
0.1,,,,,sell,25022.73,BTC-25AUG23-19000-P,52.34,,0.01124222,0.011,1,1686784083695,258067569,61
0.1,,,,,sell,24988.88,BTC-29SEP23-31000-C,43.09,,0.02592206,0.026,3,1686783998018,258067403,351
0.1,,,,,sell,24988.88,BTC-28JUL23-19000-P,58.86,,0.0071079,0.007,3,1686783997506,258067398,246
0.2,,,,,buy,24990.37,BTC-15JUN23-25250-P,43.72,,0.01221127,0.012,2,1686783986393,258067299,156
0.9,,,,,sell,25009.86,BTC-17JUN23-25000-C,42.23,,0.01402783,0.014,2,1686783955756,258067132,3
2.4,,,,,sell,25002.75,BTC-29SEP23-40000-C,53.7,,0.00845414,0.0085,0,1686783950862,258067120,1872
2.0,,,,,sell,25006.63,BTC-17JUN23-23000-P,63.11,,0.00128244,0.001,2,1686783926751,258067090,12
2.0,,,,,sell,25006.72,BTC-23JUN23-23500-P,46.63,,0.00710176,0.007,0,1686783917110,258067079,350
2.0,,,,,sell,25009.8,BTC-17JUN23-23500-P,58.99,,0.00223019,0.002,3,1686783896359,258067025,53
0.5,,,,,buy,25028.37,BTC-29DEC23-40000-C,51.38,,0.02546587,0.026,1,1686783771500,258066876,1051
0.1,,,,,sell,25026.73,BTC-15JUN23-26000-P,60.92,,0.03904123,0.039,3,1686783641844,258066822,1084
0.1,,,,,sell,25025.53,BTC-29DEC23-35000-C,48.09,,0.03960307,0.0405,0,1686783633437,258066819,684
50.0,BLOCK-78824,2,BTC-PSR12-29SEP23-25000_21000,,buy,25025.43,BTC-29SEP23-21000-P,46.31,,0.03088921,0.0308,2,1686783466347,258066755,588
1.0,,,,,buy,25021.49,BTC-29MAR24-10000-P,66.45,,0.00854993,0.0085,0,1686783421658,258066723,58
1.2,,,,,buy,25018.99,BTC-16JUN23-26000-C,48.94,,0.0013253,0.0015,3,1686783395294,258066718,978
0.1,,,,,sell,25035.19,BTC-16JUN23-23500-P,66.2,,0.00122035,0.001,3,1686783337690,258066698,680
0.3,,,,,buy,25032.01,BTC-30JUN23-35000-C,75.4,,0.00072338,0.001,1,1686783324726,258066696,4034
4.6,,,,,buy,25045.71,BTC-17JUN23-25500-C,41.75,,0.0064188,0.0065,2,1686783304296,258066647,19
0.1,,,,,buy,25045.44,BTC-15JUN23-26000-C,70.9,,0.00026627,0.0005,3,1686783302836,258066646,440
0.1,,,,,buy,25046.02,BTC-15JUN23-26250-C,85.01,,7.374e-05,0.0005,3,1686783294859,258066644,715
0.1,,,,,sell,25026.34,BTC-15JUN23-24000-P,78.74,,0.00069704,0.0005,3,1686783235314,258066622,117
0.2,,,,,sell,25019.84,BTC-23JUN23-27500-C,43.89,,0.00247586,0.0025,3,1686783208690,258066579,884
0.1,,,,,sell,25011.76,BTC-30JUN23-23000-C,48.33,,0.09130031,0.0915,2,1686783182496,258066558,1116
0.1,,,,,buy,25005.67,BTC-30JUN23-24000-C,41.84,,0.05845101,0.058,2,1686783163212,258066554,1178
5.0,,,,,sell,25004.84,BTC-25AUG23-25000-C,39.28,,0.07178065,0.0715,2,1686782986288,258066459,7
0.2,,,,,sell,25008.09,BTC-23JUN23-24500-P,39.28,,0.01520706,0.0145,2,1686782972544,258066454,659
2.7,,,,,sell,25018.81,BTC-16JUN23-24750-P,43.76,,0.00668937,0.006,3,1686782898012,258066406,43
0.2,,,,,sell,25024.9,BTC-23JUN23-28000-C,47.49,,0.00175805,0.002,3,1686782777872,258066173,709
18.2,,,,,buy,25026.02,BTC-28JUL23-33000-C,49.53,,0.00444748,0.0045,2,1686782775451,258066165,385
9.6,,,,,sell,25029.02,BTC-28JUL23-24000-P,40.21,,0.03561682,0.035,3,1686782661283,258066084,794
