amount,block_trade_id,block_trade_leg_count,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,sell,30614.94,BTC-3JUL23-31000-C,40.32,0.00147213,0.001,2,1688342391812,260067305,188
0.1,,,sell,30612.94,BTC-5JUL23-29500-P,41.45,0.00204076,0.002,3,1688342268515,260067274,23
0.1,,,sell,30630.46,BTC-5JUL23-31000-C,39.57,0.00860082,0.008,3,1688342134009,260067228,33
1.0,,,sell,30618.38,BTC-14JUL23-35000-C,53.84,0.00413503,0.004,0,1688342091652,260067192,298
0.4,,,sell,30619.54,BTC-3JUL23-30750-C,44.31,0.00351614,0.0035,1,1688342082665,260067190,304
0.2,,,buy,30618.57,BTC-5JUL23-33000-C,61.37,0.00134737,0.0015,0,1688342052241,260067165,11
17.5,,,buy,30624.09,BTC-7JUL23-31000-C,42.35,0.01423786,0.014,1,1688342028417,260067128,1391
1.0,,,sell,30627.5,BTC-29SEP23-80000-C,78.96,0.00170468,0.0015,3,1688342003564,260067122,668
0.1,,,sell,30612.48,BTC-3JUL23-30750-P,37.26,0.00787215,0.007,0,1688341997428,260067078,52
0.3,,,sell,30599.58,BTC-14JUL23-30500-P,42.83,0.02649679,0.0265,0,1688341913862,260066998,273
0.2,,,buy,30587.06,BTC-14JUL23-31500-C,44.6,0.02045243,0.0205,3,1688341883793,260066987,242
0.2,,,sell,30578.49,BTC-3JUL23-30250-P,37.51,0.00118946,0.001,2,1688341707601,260066897,370
0.4,,,sell,30589.45,BTC-3JUL23-30500-C,43.38,0.0066301,0.007,3,1688341657995,260066887,226
20.0,BLOCK-82959,2,buy,30590.09,BTC-7JUL23-28500-P,46.94,0.00142853,0.0017,0,1688341650346,260066876,537
10.0,BLOCK-82959,2,buy,30590.09,BTC-7JUL23-32000-C,48.77,0.00617072,0.0065,0,1688341650346,260066875,903
1.2,,,buy,30587.49,BTC-3JUL23-30500-P,38.92,0.00374403,0.0035,3,1688341276761,260066765,316
1.7,,,buy,30572.9,BTC-4JUL23-30500-C,40.82,0.01137995,0.0115,2,1688341259923,260066747,106
2.4,,,sell,30568.38,BTC-4JUL23-31250-C,42.5,0.00349796,0.003,3,1688340868448,260066615,26
0.4,,,buy,30573.85,BTC-4JUL23-30500-P,41.2,0.00843767,0.0085,0,1688340798186,260066481,107
0.1,,,buy,30584.97,BTC-28JUL23-30000-P,43.53,0.03403508,0.034,3,1688340784261,260066431,663
0.1,,,sell,30594.22,BTC-5JUL23-30500-P,39.15,0.0108222,0.0105,2,1688340533635,260066254,34
4.1,,,buy,30582.93,BTC-4JUL23-30750-C,39.88,0.00793794,0.0075,3,1688340318058,260066192,132
1.9,,,buy,30569.62,BTC-14JUL23-32000-C,46.01,0.01571984,0.016,2,1688340310037,260066157,316
0.1,,,sell,30570.37,BTC-4JUL23-29750-P,39.94,0.0018326,0.0015,1,1688340273651,260066147,36
4.5,,,buy,30577.29,BTC-14JUL23-32500-C,47.21,0.01239705,0.0125,0,1688340023026,260066016,424
0.1,,,buy,30583.75,BTC-14JUL23-31000-P,43.79,0.0355756,0.036,0,1688339861637,260065872,213
7.9,,,sell,30582.42,BTC-14JUL23-30500-C,42.95,0.03357251,0.0335,1,1688339796579,260065773,540
3.0,,,sell,30588.01,BTC-5JUL23-30750-C,39.5,0.01147487,0.011,2,1688339795399,260065756,25
0.5,,,sell,30607.69,BTC-3JUL23-31250-C,45.56,0.00067299,0.0005,2,1688339690604,260065434,161
0.1,,,buy,30618.42,BTC-21JUL23-31000-P,44.07,0.04304029,0.0435,1,1688339502931,260065362,68
0.1,,,sell,30613.64,BTC-28JUL23-27000-P,45.85,0.00823852,0.008,2,1688339453413,260065321,1570
23.0,,,buy,30614.95,BTC-14JUL23-27500-P,46.0,0.00290644,0.003,3,1688339202371,260064971,247
1.0,,,buy,30614.87,BTC-7JUL23-28000-P,49.79,0.00079232,0.001,3,1688339187229,260064956,595
2.0,,,buy,30584.71,BTC-3JUL23-30000-P,43.9,0.00066908,0.0005,3,1688339141122,260064842,254
2.0,,,buy,30599.33,BTC-28JUL23-31000-P,44.15,0.05047784,0.0505,0,1688339135130,260064811,535
3.0,,,buy,30624.72,BTC-7JUL23-32500-C,50.72,0.0042127,0.0045,0,1688339001134,260064633,356
