amount,block_trade_id,block_trade_leg_count,combo_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,sell,31153.72,BTC-5JUL23-30000-P,39.04,0.00088399,0.0005,2,1688428780260,260157836,59
1.0,,,,buy,31156.49,BTC-4JUL23-30500-P,49.22,0.00021744,0.0005,3,1688428441000,260157779,430
2.6,,,,sell,31156.44,BTC-5JUL23-31500-C,42.39,0.00633852,0.006,1,1688428396101,260157768,92
0.6,,,,buy,31154.07,BTC-7JUL23-32500-C,50.22,0.00552667,0.0055,3,1688428368325,260157751,424
0.1,,,,buy,31142.71,BTC-7JUL23-31000-C,43.64,0.02005657,0.02,0,1688428349643,260157741,1525
0.1,,,,sell,31142.67,BTC-5JUL23-31250-C,40.47,0.00892041,0.0085,3,1688428341203,260157723,120
0.1,,,,sell,31142.67,BTC-6JUL23-32500-C,51.59,0.00345136,0.0035,1,1688428340593,260157722,25
0.1,,,,buy,31137.84,BTC-5JUL23-32000-C,48.73,0.00299622,0.003,3,1688428279317,260157701,60
0.4,,,,buy,31131.32,BTC-14JUL23-35000-C,54.17,0.00479568,0.005,1,1688427847254,260157626,370
0.1,,,,buy,31129.97,BTC-28JUL23-38000-C,56.58,0.00689564,0.007,2,1688427781747,260157624,1171
0.1,,,,buy,31131.11,BTC-21JUL23-35000-C,52.44,0.00991824,0.0105,0,1688427725400,260157614,134
4.7,,,,buy,31123.74,BTC-25AUG23-34000-C,49.43,0.04324,0.044,0,1688427587446,260157587,983
2.0,,,,sell,31131.3,BTC-29SEP23-35000-C,49.98,0.05784642,0.058,0,1688427498911,260157545,2023
0.1,,,,sell,31133.78,BTC-14JUL23-27500-P,49.04,0.00219591,0.002,3,1688427427987,260157536,267
0.2,,,,buy,31135.23,BTC-7JUL23-31000-P,43.22,0.01374457,0.0135,2,1688427384355,260157518,448
0.1,,,,sell,31132.52,BTC-14JUL23-28000-P,45.76,0.00292926,0.0025,2,1688427371689,260157510,292
0.2,,,,buy,31119.17,BTC-14JUL23-34000-C,51.69,0.00789354,0.008,1,1688427269851,260157435,456
0.2,,,,sell,31115.93,BTC-4JUL23-30750-P,31.3,0.00091648,0.0005,3,1688427222016,260157414,198
0.1,,,,sell,31116.9,BTC-4JUL23-31000-P,29.45,0.00286557,0.002,2,1688427145647,260157400,85
0.1,,,,buy,31109.24,BTC-7JUL23-30000-C,43.64,0.04176263,0.0415,0,1688426772685,260157346,1150
0.1,,,,sell,31115.61,BTC-29SEP23-31000-P,46.96,0.0821616,0.081,2,1688426722170,260157332,246
1.0,,,,sell,31115.84,BTC-4JUL23-31250-C,33.83,0.00305229,0.0025,3,1688426602213,260157326,155
0.1,,,,sell,31116.04,BTC-29SEP23-38000-C,52.18,0.0387915,0.0385,2,1688426571952,260157323,524
50.0,BLOCK-83246,1,,buy,31116.27,BTC-29DEC23-40000-C,54.35,0.07112637,0.0725,1,1688426492499,260157309,1692
0.4,,,,sell,31118.06,BTC-5JUL23-31000-C,39.7,0.01210401,0.012,3,1688426367238,260157303,133
0.3,,,,sell,31113.08,BTC-14JUL23-29000-P,44.2,0.00612397,0.006,2,1688426355406,260157295,475
0.6,,,,sell,31100.84,BTC-7JUL23-31500-C,45.5,0.01267503,0.0125,3,1688426351110,260157219,879
15.0,,,,sell,31097.7,BTC-14JUL23-32500-C,48.18,0.01637497,0.0165,2,1688426272316,260157191,478
5.0,,,,sell,31112.7,BTC-21JUL23-28000-P,44.89,0.00654157,0.006,2,1688426098743,260157081,78
0.3,,,,buy,31113.78,BTC-7JUL23-34000-C,61.9,0.00187079,0.002,0,1688426079548,260157078,756
0.3,,,,buy,31107.89,BTC-7JUL23-36000-C,80.36,0.00070489,0.001,0,1688426072517,260157063,362
