amount,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.2,,,buy,29786.4,BTC-29SEP23-33000-C,41.63,0.03719764,0.037,3,1690070398295,261471950,1344
0.1,,,sell,29784.87,BTC-25JUL23-28000-P,39.91,0.00026266,0.0003,2,1690070379320,261471924,9
0.6,,,sell,29782.59,BTC-25JUL23-28500-P,31.73,0.00052627,0.0004,0,1690070360378,261471905,9
1.1,,,buy,29775.3,BTC-23JUL23-29500-P,28.36,0.00037163,0.0006,3,1690070293591,261471869,162
0.1,,,sell,29769.96,BTC-25AUG23-33000-C,40.12,0.0152675,0.015,2,1690070176971,261471755,1137
0.9,,,buy,29767.98,BTC-24JUL23-29750-C,20.88,0.00573549,0.0055,0,1690070117376,261471736,45
0.1,,,sell,29734.66,BTC-28JUL23-30500-C,33.84,0.00722999,0.007,2,1690070018767,261471611,382
1.0,,,sell,29733.59,BTC-11AUG23-30000-C,33.46,0.02771449,0.028,0,1690070008794,261471609,122
0.1,,,sell,29746.6,BTC-29SEP23-25000-P,43.87,0.01493012,0.015,2,1690069987610,261471551,1168
0.1,,,buy,29746.1,BTC-29SEP23-34000-C,42.74,0.0302223,0.03,0,1690069986783,261471550,1125
10.5,,,buy,29737.11,BTC-25AUG23-31000-C,36.93,0.02938353,0.029,3,1690069967961,261471531,2180
0.1,,,buy,29725.11,BTC-28JUN24-30000-C,51.14,0.21155758,0.212,1,1690069921978,261471488,43
3.7,,,buy,29710.39,BTC-23JUL23-30000-C,27.07,0.00043875,0.0005,3,1690069830123,261471453,295
0.1,,,buy,29726.5,BTC-24JUL23-30000-C,22.73,0.00236912,0.0022,0,1690069799602,261471386,70
0.2,,,sell,29720.16,BTC-28JUL23-29000-P,33.73,0.00655301,0.0065,2,1690069773864,261471345,2688
10.0,,,buy,29713.32,BTC-4AUG23-30500-C,33.37,0.01430649,0.0145,0,1690069761116,261471327,439
0.1,,,sell,29695.69,BTC-23JUL23-30250-C,31.32,0.00021275,0.0001,3,1690069727061,261471256,240
5.0,,,buy,29695.7,BTC-29SEP23-30000-P,40.22,0.06860814,0.0685,1,1690069722571,261471251,1014
5.0,,,buy,29695.7,BTC-29SEP23-30000-C,40.18,0.07000452,0.07,3,1690069722554,261471250,1998
0.1,,,sell,29685.49,BTC-24JUL23-29750-P,22.53,0.00641911,0.0065,1,1690069639327,261471181,54
0.5,,,sell,29695.82,BTC-28JUL23-29500-P,32.18,0.01225601,0.012,0,1690069549814,261471148,344
0.2,,,sell,29696.69,BTC-25AUG23-28000-P,36.76,0.01904735,0.019,0,1690069546313,261471141,932
0.2,,,buy,29703.54,BTC-28JUL23-34000-C,56.67,0.00059808,0.0007,3,1690069483454,261471108,2597
0.9,,,buy,29706.69,BTC-11AUG23-26500-P,38.98,0.00383232,0.0038,3,1690069464420,261471104,9
0.1,,,sell,29706.69,BTC-25AUG23-35000-C,43.81,0.00811967,0.008,3,1690069464021,261471098,954
1.0,,,sell,29700.83,BTC-11AUG23-35000-C,42.52,0.00234955,0.0022,2,1690069348904,261471070,43
0.1,,,sell,29695.99,BTC-28JUL23-27000-P,48.61,0.00110267,0.0012,0,1690069292830,261471001,2211
0.1,,,buy,29703.42,BTC-4AUG23-31000-C,34.11,0.00998312,0.01,3,1690069192108,261470955,357
9.9,,,sell,29708.89,BTC-29SEP23-27000-P,41.69,0.02827843,0.029,1,1690069099001,261470877,844
1.0,,,sell,29715.72,BTC-24JUL23-30750-C,33.37,0.00047245,0.0004,0,1690069076440,261470840,37
1.2,,,sell,29714.43,BTC-29SEP23-28000-P,40.8,0.03839089,0.039,1,1690069068452,261470836,726
1.0,,,buy,29704.52,BTC-25AUG23-30000-C,36.04,0.04111297,0.041,0,1690069052167,261470810,1791
2.6,,,buy,29677.51,BTC-25JUL23-29750-P,26.23,0.00947744,0.0095,1,1690068915925,261470743,61
0.9,,,sell,29674.91,BTC-28JUN24-55000-C,58.52,0.06292225,0.061,3,1690068829556,261470685,42
0.1,,,sell,29675.57,BTC-28JUN24-40000-C,53.69,0.11883714,0.1185,2,1690068826509,261470683,71
0.3,,,buy,29666.74,BTC-28JUL23-29500-C,32.13,0.01928769,0.019,3,1690068740018,261470629,87
1.0,,,sell,29656.76,BTC-4AUG23-30000-C,31.7,0.0194657,0.019,2,1690068724912,261470592,584
0.3,,,sell,29652.2,BTC-23JUL23-29250-P,24.32,0.00020517,0.0001,3,1690068723537,261470591,137
0.1,,,sell,29663.98,BTC-29MAR24-65000-C,62.69,0.02522307,0.025,2,1690068714488,261470574,90
0.1,,,sell,29667.46,BTC-29MAR24-45000-C,54.63,0.06112553,0.061,3,1690068706705,261470557,214
2.0,,,buy,29675.94,BTC-11AUG23-29500-P,32.52,0.02572548,0.0255,0,1690068699223,261470548,30
0.9,,,sell,29691.63,BTC-28JUN24-50000-C,57.13,0.07630118,0.075,1,1690068580197,261470424,59
1.3,,,buy,29693.94,BTC-24JUL23-29500-P,23.69,0.00269695,0.003,0,1690068500978,261470393,82
0.5,,,buy,29710.97,BTC-24JUL23-30250-C,27.08,0.00094674,0.0012,0,1690068445040,261470337,71
3.2,,,buy,29705.4,BTC-24JUL23-29250-P,25.76,0.00118988,0.0013,0,1690068398560,261470304,44
1.1,,,sell,29731.32,BTC-24JUL23-28500-P,35.56,0.0001905,0.0002,0,1690068312301,261470256,15
0.6,,,sell,29703.46,BTC-25JUL23-29750-C,25.36,0.00784177,0.0075,2,1690068207216,261470143,10
2.1,,,sell,29703.0,BTC-4AUG23-29000-P,32.6,0.01313387,0.013,1,1690068169213,261470109,176
0.4,,,sell,29697.57,BTC-25JUL23-29250-P,27.07,0.00318138,0.003,1,1690068162310,261470094,15
0.1,,,sell,29697.57,BTC-25JUL23-30250-C,26.58,0.00250096,0.0024,2,1690068162296,261470091,23
0.2,,,sell,29690.33,BTC-23JUL23-29750-P,25.11,0.00361899,0.0042,0,1690068127309,261470062,209
0.2,,,buy,29691.18,BTC-23JUL23-29750-C,24.46,0.00170338,0.0023,0,1690068125937,261470059,65
0.1,,,sell,29702.58,BTC-25JUL23-32000-C,42.82,0.00022166,0.0002,0,1690067973066,261469905,5
0.2,,,buy,29696.06,BTC-25AUG23-32000-C,38.25,0.0199901,0.02,3,1690067964172,261469895,2383
2.0,,,sell,29663.11,BTC-28JUL23-33000-C,50.48,0.00100524,0.0011,3,1690067918151,261469836,2997
0.4,,,buy,29662.65,BTC-28JUL23-30000-P,34.29,0.02198933,0.0225,0,1690067903998,261469811,2566
8.5,,,sell,29646.38,BTC-29DEC23-35000-C,48.67,0.07403977,0.075,3,1690067890208,261469750,1195
0.1,,,sell,29646.38,BTC-11AUG23-28500-P,33.08,0.01401681,0.0135,0,1690067889932,261469749,41
0.1,,,buy,29651.5,BTC-28JUN24-29000-P,50.16,0.14931163,0.1515,0,1690067887711,261469736,19
0.1,,,sell,29654.44,BTC-29SEP23-32000-C,40.94,0.04415189,0.0445,2,1690067886710,261469734,1871
0.8,,,sell,29668.2,BTC-4AUG23-31500-C,35.66,0.00677013,0.007,3,1690067884663,261469680,274
