amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
65.9,,,,,sell,29410.25,BTC-17AUG23-29750-C,28.96,0.00492518,0.0049,0,1692057467788,262538011,16
0.3,,,,,sell,29409.85,BTC-1SEP23-31000-C,32.11,0.01066858,0.0105,0,1692057346001,262538001,131
0.6,,,,,sell,29409.95,BTC-1SEP23-29000-C,29.8,0.03568921,0.036,0,1692057325045,262537997,6
0.1,,,,,sell,29411.66,BTC-15AUG23-29000-P,25.47,0.00015047,0.0001,3,1692057309778,262537992,161
0.3,,,,,buy,29410.97,BTC-25AUG23-28000-C,31.84,0.05529575,0.0555,1,1692057283610,262537988,349
4.0,,,,,sell,29410.09,BTC-15AUG23-29500-C,17.76,0.0012386,0.001,2,1692057246433,262537984,362
0.8,,,,,buy,29410.47,BTC-18AUG23-29500-C,28.58,0.01003847,0.01,1,1692057207458,262537928,1188
0.1,,,,,buy,29413.78,BTC-16AUG23-29000-P,25.48,0.00137736,0.0014,1,1692057164570,262537874,50
1.0,,,,,sell,29416.69,BTC-18AUG23-29000-C,20.09,0.01986377,0.0175,2,1692057093037,262537871,525
1.2,,,,,sell,29416.24,BTC-29DEC23-36000-C,40.79,0.03901966,0.0385,3,1692057031547,262537869,559
0.2,,,,,sell,29418.66,BTC-18AUG23-30000-C,31.5,0.00523133,0.005,0,1692056516850,262537867,1279
0.1,,,,,buy,29418.66,BTC-17AUG23-29500-P,26.32,0.00962204,0.0095,2,1692056505253,262537866,26
0.1,,,,,sell,29405.9,BTC-16AUG23-31500-C,56.12,0.0003341,0.0003,0,1692056062514,262537737,27
0.4,,,,,sell,29407.71,BTC-1SEP23-28000-P,30.23,0.00798467,0.0075,0,1692055697535,262537570,62
0.4,,,,,sell,29407.83,BTC-29DEC23-35000-C,40.23,0.04485009,0.0445,1,1692055656519,262537569,1562
0.1,,,,,sell,29406.89,BTC-15AUG23-29250-P,16.79,0.00065274,0.0004,2,1692055621236,262537568,256
1.1,,,,,sell,29406.68,BTC-15AUG23-29750-C,23.84,0.00026096,0.0002,2,1692055592184,262537567,258
0.1,,,,,buy,29406.84,BTC-27OCT23-31000-C,34.66,0.04550452,0.046,1,1692055539942,262537566,187
0.1,,,,,buy,29406.54,BTC-27OCT23-29000-P,33.48,0.04541064,0.0455,0,1692055473079,262537563,216
0.1,,,,,buy,29406.54,BTC-16AUG23-29500-C,25.52,0.00507126,0.005,1,1692055441123,262537561,109
0.2,,,,,sell,29408.69,BTC-29SEP23-40000-C,48.48,0.00354883,0.0033,2,1692055158447,262537559,3396
0.1,,,,,buy,29409.12,BTC-17AUG23-29250-P,25.88,0.00549,0.0055,0,1692055032568,262537556,24
0.9,,,,,sell,29409.23,BTC-29SEP23-32000-C,34.87,0.02165505,0.0215,2,1692054962882,262537547,2822
1.0,,,,,buy,29409.12,BTC-18AUG23-31000-C,41.47,0.00198923,0.0019,3,1692054890200,262537546,1040
2.0,,,,,sell,29406.77,BTC-16AUG23-31000-C,48.86,0.00059162,0.0005,1,1692054818949,262537543,95
0.1,,,,,buy,29407.56,BTC-18AUG23-28000-P,38.27,0.00120021,0.0014,1,1692054705393,262537522,576
1.0,,,,,buy,29409.44,BTC-16AUG23-30500-C,41.26,0.00098002,0.0009,0,1692054628200,262537517,31
0.3,,,,,sell,29409.44,BTC-29SEP23-30000-C,32.18,0.04143079,0.041,2,1692054626103,262537516,3404
2.0,,,,,sell,29410.76,BTC-16AUG23-30000-C,32.71,0.00187811,0.0018,2,1692054551332,262537512,55
0.2,,,,,buy,29411.52,BTC-29DEC23-30000-C,37.55,0.0946329,0.0945,2,1692054515241,262537511,1605
1.0,,,,,buy,29412.87,BTC-29SEP23-27000-P,33.84,0.01329049,0.0135,1,1692054435425,262537510,1482
4.1,,,,,sell,29410.72,BTC-1SEP23-34000-C,42.42,0.00286841,0.0028,2,1692054125052,262537498,71
8.4,,,,,buy,29410.46,BTC-29SEP23-34000-C,38.68,0.01264711,0.0125,1,1692054104831,262537496,1686
4.0,,,,,sell,29410.46,BTC-29SEP23-38000-C,45.4,0.00515553,0.0049,0,1692054104433,262537492,1067
0.1,,,,,sell,29408.42,BTC-17AUG23-29000-P,25.9,0.00300616,0.0029,2,1692054072275,262537489,24
1.3,,,,,buy,29410.73,BTC-1SEP23-29500-P,29.7,0.02464777,0.025,0,1692054064715,262537468,84
0.5,,,,,sell,29411.83,BTC-18AUG23-32500-C,53.91,0.00066644,0.0006,2,1692054043806,262537455,282
1.0,,,,,buy,29416.69,BTC-15AUG23-29500-P,18.95,0.00412461,0.004,0,1692054039634,262537451,108
0.7,,,,,buy,29417.09,BTC-1SEP23-29000-P,29.37,0.01696041,0.017,0,1692053933427,262537417,78
0.3,,,,,sell,29416.58,BTC-17AUG23-30000-C,30.51,0.00328521,0.0032,0,1692053902473,262537414,26
0.7,,,,,sell,29416.03,BTC-1SEP23-30000-C,30.01,0.01941653,0.0195,1,1692053811330,262537410,136
0.1,,,,,buy,29415.83,BTC-15AUG23-30000-C,42.98,0.00010024,0.0005,0,1692053785843,262537409,165
2.5,,,,,sell,29415.63,BTC-25AUG23-31000-C,34.26,0.00648122,0.0065,0,1692053747358,262537394,3876
0.5,,,,,sell,29420.6,BTC-1SEP23-31500-C,33.47,0.00816637,0.008,2,1692053691601,262537305,115
5.8,,,,,buy,29420.69,BTC-1SEP23-32000-C,35.65,0.00620349,0.0065,1,1692053672672,262537292,124
0.3,,,,,buy,29421.68,BTC-27OCT23-36000-C,40.23,0.0152209,0.0155,0,1692053663034,262537286,208
0.1,,,,,buy,29421.63,BTC-16AUG23-28750-P,27.28,0.00062688,0.0006,3,1692053599861,262537268,51
0.1,,,,,sell,29422.02,BTC-18AUG23-30500-C,35.95,0.00296154,0.0029,0,1692053565583,262537264,1130
0.2,,,,,sell,29421.99,BTC-18AUG23-28500-P,30.57,0.00209199,0.0019,2,1692053553105,262537263,822
0.9,,,,,sell,29427.54,BTC-25AUG23-30000-C,29.58,0.01316013,0.013,1,1692053301884,262537189,4348
8.6,,,,,sell,29428.27,BTC-25AUG23-28000-P,31.15,0.00430182,0.0042,1,1692053290392,262537187,2288
0.7,,,,,sell,29428.26,BTC-16AUG23-29500-P,24.4,0.007024,0.007,3,1692053022602,262537131,66
0.1,,,,,sell,29427.69,BTC-25AUG23-31500-P,37.43,0.07186711,0.072,0,1692053009373,262537129,18
0.1,,,,,sell,29427.72,BTC-25AUG23-31000-P,35.29,0.0563516,0.057,0,1692053002334,262537127,502
0.1,,,,,sell,29436.12,BTC-1SEP23-29500-C,28.98,0.02650696,0.0265,1,1692052918121,262537084,89
0.1,,,,,sell,29437.38,BTC-18AUG23-27000-P,46.3,0.00053208,0.0004,2,1692052893131,262537080,283
0.1,,,,,buy,29429.4,BTC-29SEP23-29000-P,32.04,0.03266633,0.033,0,1692052702270,262537034,1173
30.0,BLOCK-89860,2,BTC-STRD-18AUG23-29500,,buy,29432.67,BTC-18AUG23-29500-P,30.86,0.0112147,0.0124,0,1692052492397,262536976,697
1.4,,,,,buy,29432.63,BTC-29DEC23-33000-C,39.02,0.05953163,0.06,0,1692052451310,262536963,572
4.0,,,,,sell,29437.54,BTC-25AUG23-34000-C,47.72,0.00144555,0.0014,2,1692052432947,262536937,2178
1.0,,,,,buy,29441.28,BTC-29SEP23-25000-P,38.74,0.00575999,0.006,1,1692052409962,262536929,1649
1.1,,,,,sell,29439.47,BTC-29SEP23-28000-P,32.53,0.02056043,0.021,0,1692052110566,262536718,1300
2.5,,,,,sell,29437.82,BTC-29SEP23-35000-C,40.07,0.00924676,0.0095,1,1692052091142,262536680,3043
25.0,BLOCK-89859,1,,,buy,29438.92,BTC-29SEP23-33000-C,36.1,0.0155616,0.0157,2,1692052084221,262536653,2016
0.2,,,,,sell,29438.92,BTC-27OCT23-38000-C,42.34,0.0104256,0.0105,1,1692052083510,262536651,203
0.9,,,,,buy,29439.17,BTC-29SEP23-31000-C,33.15,0.02889875,0.0295,0,1692052082504,262536642,2140
2.5,,,,,sell,29440.04,BTC-1SEP23-30500-C,29.66,0.01353079,0.0135,1,1692052046101,262536591,104
2.4,,,,,sell,29441.52,BTC-29SEP23-26000-P,35.64,0.0083085,0.0085,1,1692052008257,262536514,1275
7.6,,,,,sell,29441.36,BTC-29SEP23-29000-C,31.47,0.05712834,0.0575,0,1692052004366,262536511,1063
0.4,,,,,sell,29440.6,BTC-27OCT23-28000-P,33.67,0.03159931,0.032,3,1692051957183,262536372,152
0.1,,,,,buy,29423.78,BTC-27OCT23-34000-C,36.96,0.02194768,0.022,2,1692051939567,262536202,392
21.0,,,,,sell,29423.69,BTC-25AUG23-32000-C,38.38,0.0032449,0.0034,1,1692051902979,262536180,4046
5.0,,,,,buy,29418.67,BTC-18AUG23-32000-C,48.01,0.00064604,0.0007,0,1692051812890,262536120,483
5.0,,,,,buy,29418.67,BTC-25AUG23-32500-C,39.9,0.00237448,0.0024,2,1692051812889,262536119,35
11.0,,,,,buy,29414.34,BTC-18AUG23-33000-C,54.49,0.00025372,0.0003,3,1692051681673,262536035,273
0.4,,,,,buy,29407.95,BTC-25AUG23-29000-P,28.02,0.01093754,0.0115,0,1692051555775,262535966,2443
0.1,,,,,sell,29405.15,BTC-25AUG23-30500-C,30.31,0.00812414,0.008,1,1692051426524,262535909,142
0.3,,,,,buy,29399.41,BTC-27OCT23-26000-P,35.23,0.01508017,0.0155,3,1692051369078,262535835,114
2.0,,,,,sell,29399.27,BTC-29SEP23-36000-C,41.33,0.00681052,0.007,0,1692051365160,262535813,1096
0.4,,,,,sell,29391.89,BTC-16AUG23-29250-P,19.8,0.00286375,0.0027,2,1692051005485,262535716,34
0.1,,,,,sell,29394.62,BTC-18AUG23-29000-P,25.55,0.00442764,0.0042,2,1692050986635,262535713,988
1.6,,,,,buy,29388.03,BTC-25AUG23-31500-C,35.54,0.00413261,0.0042,0,1692050945535,262535703,123
0.5,,,,,buy,29378.62,BTC-25AUG23-33000-C,43.1,0.00186126,0.002,3,1692050343650,262535277,2286
1.0,,,,,sell,29372.63,BTC-29DEC23-28000-P,37.62,0.05704357,0.057,2,1692050044332,262535227,344
0.5,,,,,sell,29375.45,BTC-29DEC23-27000-P,38.04,0.04498509,0.045,0,1692049778472,262535180,476
1.0,,,,,buy,29376.95,BTC-28JUN24-31000-P,44.05,0.16335068,0.163,2,1692049718916,262535175,34
0.1,,,,,buy,29371.69,BTC-29DEC23-32000-P,37.95,0.12931536,0.129,3,1692049450463,262535066,124
4.0,,,,,buy,29357.84,BTC-1SEP23-36000-C,46.08,0.00095211,0.001,3,1692048992772,262534940,30
0.1,,,,,sell,29355.61,BTC-16AUG23-32500-C,65.77,0.00011095,0.0001,2,1692048753492,262534933,6
0.7,,,,,buy,29354.56,BTC-25AUG23-36000-C,54.06,0.00047103,0.0005,3,1692047679312,262534891,2182
2.4,,,,,buy,29356.04,BTC-29SEP23-70000-C,82.37,0.00011637,0.0002,1,1692046999027,262534756,306
