amount,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.6,sell,26191.86,BTC-1SEP23-25500-P,42.28,0.01744836,0.0175,3,1692575903903,263190646,276
0.3,sell,26182.23,BTC-1SEP23-26500-C,39.65,0.02287981,0.023,2,1692575716069,263190621,324
0.4,buy,26182.23,BTC-25AUG23-25500-P,43.61,0.008698,0.0085,3,1692575701889,263190618,326
1.0,buy,26181.94,BTC-21AUG23-27250-C,60.59,2.954e-05,0.0001,3,1692575618766,263190607,101
0.1,buy,26181.49,BTC-1SEP23-22000-P,66.19,0.00290185,0.0031,0,1692575592809,263190604,50
0.1,sell,26175.43,BTC-25AUG23-23000-P,72.83,0.0018626,0.0016,3,1692575466432,263190598,1502
0.1,sell,26173.97,BTC-1SEP23-26000-P,40.55,0.02420121,0.0245,1,1692575452641,263190592,473
1.2,sell,26176.93,BTC-1SEP23-24000-P,50.01,0.00709292,0.007,1,1692575139847,263190539,269
0.5,sell,26187.13,BTC-23AUG23-26250-C,39.32,0.01124893,0.0115,0,1692574973534,263190508,28
1.4,buy,26187.29,BTC-29SEP23-33000-C,47.9,0.00590178,0.006,0,1692574946924,263190507,2394
0.2,sell,26180.84,BTC-8SEP23-29000-C,41.33,0.00731716,0.007,1,1692574777316,263190487,147
2.5,buy,26179.6,BTC-29SEP23-37000-C,56.55,0.00278658,0.0029,0,1692574676048,263190480,1041
0.1,sell,26177.69,BTC-21AUG23-26250-C,26.63,0.0024005,0.0021,2,1692574672900,263190479,435
2.8,sell,26176.07,BTC-21AUG23-26500-C,29.93,0.00055585,0.0004,2,1692574654153,263190478,347
0.1,sell,26176.92,BTC-21AUG23-26000-P,31.57,0.00162554,0.0014,3,1692574587481,263190475,246
0.1,buy,26175.11,BTC-22AUG23-26250-C,36.34,0.00765005,0.0075,3,1692574555746,263190467,100
1.0,sell,26174.35,BTC-29SEP23-31000-C,43.15,0.00979079,0.0095,1,1692574551490,263190461,2807
1.0,sell,26170.77,BTC-29SEP23-30000-C,41.39,0.0134818,0.013,2,1692574523600,263190442,4224
0.1,sell,26170.77,BTC-22AUG23-25250-P,47.87,0.00174551,0.0015,2,1692574521957,263190441,11
0.4,buy,26160.17,BTC-25AUG23-26000-P,40.33,0.01451306,0.0145,1,1692574478539,263190420,2967
0.3,sell,26158.41,BTC-21AUG23-26000-C,34.85,0.00789472,0.008,3,1692574422136,263190407,176
0.9,buy,26169.12,BTC-29SEP23-28000-C,39.12,0.02715466,0.027,2,1692574313144,263190364,1497
0.5,buy,26176.61,BTC-29SEP23-29000-C,40.46,0.01899419,0.019,0,1692574176882,263190343,1731
