amount,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.8,,,buy,26557.23,BTC-22SEP23-26500-P,31.25,,0.0141537,0.014,1,1694908328341,264812768,450
0.1,,,sell,26557.11,BTC-6OCT23-25000-P,33.81,,0.00947368,0.009,2,1694908315887,264812767,35
0.1,,,sell,26557.3,BTC-29SEP23-31000-C,46.26,,0.00136789,0.0013,1,1694908113840,264812760,4049
0.3,,,sell,26555.72,BTC-29SEP23-26000-P,32.34,,0.01438497,0.014,3,1694907906697,264812753,4048
0.1,,,buy,26555.85,BTC-18SEP23-27000-C,26.67,,0.00115917,0.0013,3,1694907847794,264812750,99
0.3,,,buy,26552.12,BTC-6OCT23-26500-P,31.65,,0.02698155,0.027,0,1694907446402,264812721,136
0.1,,,buy,26532.99,BTC-18SEP23-26500-C,21.94,,0.00619538,0.006,2,1694906657089,264812610,86
0.4,,,sell,26536.82,BTC-6OCT23-26500-C,31.87,,0.03066374,0.031,0,1694906587035,264812608,67
0.5,,,sell,26534.14,BTC-22SEP23-27500-C,31.84,,0.00401178,0.0038,2,1694906487395,264812607,974
0.2,,,buy,26534.28,BTC-19SEP23-26500-P,28.91,,0.00874506,0.0085,0,1694906445432,264812558,11
2.5,,,buy,26538.1,BTC-24NOV23-23000-P,44.03,,0.02148971,0.0215,2,1694906445062,264812554,281
0.4,,,buy,26538.1,BTC-27OCT23-27000-P,36.92,,0.05620615,0.056,0,1694906444812,264812553,695
0.1,,,buy,26546.4,BTC-29SEP23-27500-P,32.57,,0.04557501,0.0455,0,1694906438615,264812533,192
0.5,,,sell,26546.4,BTC-29SEP23-26500-P,31.98,,0.02182908,0.022,1,1694906438455,264812528,674
0.1,,,sell,26548.82,BTC-18SEP23-26500-P,22.21,,0.0046204,0.0045,2,1694906406491,264812495,105
0.2,,,buy,26549.31,BTC-27OCT23-24000-P,40.16,,0.01563982,0.0155,3,1694906401415,264812494,1188
0.4,,,sell,26551.33,BTC-22SEP23-26000-P,31.99,,0.00721526,0.007,2,1694906365424,264812471,789
0.3,,,buy,26559.15,BTC-24NOV23-20000-P,50.54,,0.00800293,0.008,3,1694906258055,264812413,133
