amount,block_trade_id,block_trade_leg_count,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.6,,,sell,26582.11,BTC-25SEP23-27250-C,24.67,,0.00031186,0.0003,3,1695513297440,265230616,48
1.0,,,sell,26581.69,BTC-24SEP23-26750-C,15.57,,0.00033506,0.0002,3,1695513254515,265230614,299
1.0,,,sell,26581.6,BTC-24SEP23-27250-C,40.44,,8.51e-06,0.0001,3,1695513229408,265230611,67
0.1,,,sell,26580.36,BTC-6OCT23-26000-P,28.82,,0.01168886,0.0115,1,1695513068813,265230593,195
2.5,,,sell,26579.31,BTC-25SEP23-25500-P,31.53,,0.00017807,0.0001,2,1695513052475,265230587,38
2.4,,,sell,26574.32,BTC-29MAR24-75000-C,74.53,,0.01055509,0.0095,2,1695512919603,265230575,157
0.1,,,sell,26575.44,BTC-26SEP23-27500-C,26.65,,0.00059986,0.0005,2,1695512738686,265230557,8
1.9,,,sell,26575.54,BTC-24SEP23-27000-C,27.53,,0.00013668,0.0001,3,1695512706428,265230555,178
0.4,,,buy,26578.53,BTC-6OCT23-27000-C,27.24,,0.01302021,0.0135,1,1695512604612,265230542,348
0.8,,,sell,26575.6,BTC-24SEP23-26500-P,17.2,,0.0010333,0.001,2,1695512027218,265230506,233
2.6,,,buy,26580.44,BTC-29DEC23-29000-C,41.41,,0.05408419,0.0545,2,1695511212354,265230488,1006
27.0,,,buy,26580.44,BTC-27OCT23-31000-C,42.1,,0.00775452,0.008,1,1695511211818,265230487,1241
0.5,,,sell,26580.23,BTC-27OCT23-29000-C,36.63,,0.01485563,0.015,2,1695511088151,265230485,1426
0.5,,,buy,26580.13,BTC-29SEP23-27500-C,28.17,,0.00272767,0.0029,3,1695511086307,265230484,2179
0.1,,,sell,26579.43,BTC-29SEP23-23500-P,52.43,,0.00081433,0.0006,3,1695511046722,265230482,443
0.3,,,sell,26578.14,BTC-26SEP23-27000-C,21.42,,0.00168544,0.0017,3,1695510957068,265230458,31
3.0,,,sell,26578.14,BTC-25SEP23-26250-P,20.12,,0.00102777,0.001,2,1695510946210,265230457,50
0.1,,,sell,26570.68,BTC-25SEP23-26500-P,15.11,,0.00273303,0.0025,2,1695510514835,265230401,67
0.1,,,sell,26570.27,BTC-24SEP23-26250-P,24.52,,0.00029142,0.0002,0,1695510494292,265230400,115
1.0,,,sell,26569.46,BTC-26SEP23-28500-C,40.78,,0.00027354,0.0002,0,1695510452681,265230399,3
6.0,,,buy,26567.63,BTC-29DEC23-32000-C,44.15,,0.03199735,0.0315,3,1695510365114,265230393,1335
0.1,,,sell,26567.49,BTC-6OCT23-32000-C,44.96,,0.00046129,0.0004,3,1695510231033,265230388,72
5.0,,,sell,26567.85,BTC-13OCT23-25000-P,32.2,,0.00830866,0.008,3,1695510073984,265230387,82
3.9,,,buy,26570.17,BTC-6OCT23-25500-P,30.96,,0.00776508,0.0075,1,1695510036047,265230385,208
0.8,,,buy,26570.03,BTC-13OCT23-24500-P,34.79,,0.00604588,0.006,3,1695510001804,265230383,41
0.1,,,buy,26569.77,BTC-24NOV23-33000-C,44.88,,0.01247794,0.013,2,1695509970872,265230382,177
4.8,,,sell,26568.81,BTC-27OCT23-34000-C,48.32,,0.00338253,0.0033,3,1695509944575,265230381,1597
0.1,,,sell,26569.81,BTC-25SEP23-26750-C,18.76,,0.00165114,0.002,1,1695509901340,265230344,90
0.1,,,sell,26569.81,BTC-29SEP23-26000-P,26.7,,0.00512647,0.0048,3,1695509899215,265230340,4769
1.0,,,sell,26569.81,BTC-29SEP23-31000-C,49.19,,0.0002445,0.0001,3,1695509897698,265230339,4270
0.1,,,buy,26572.27,BTC-26SEP23-26500-P,19.23,,0.00520006,0.0049,0,1695509872833,265230332,28
0.1,,,sell,26572.59,BTC-27OCT23-35000-C,50.07,,0.0024523,0.0025,3,1695509858715,265230330,690
0.2,,,sell,26572.59,BTC-27OCT23-30000-C,39.06,,0.01065309,0.0105,3,1695509858488,265230329,2103
1.0,,,buy,26572.61,BTC-27OCT23-36000-C,52.11,,0.00187114,0.002,2,1695509851693,265230325,748
0.1,,,sell,26572.61,BTC-29SEP23-27000-C,24.21,,0.00597003,0.0055,3,1695509844069,265230324,4608
0.1,,,sell,26572.61,BTC-29SEP23-26500-C,23.86,,0.01347359,0.013,2,1695509839470,265230323,2078
1.0,,,buy,26572.61,BTC-26SEP23-26000-P,25.99,,0.00145598,0.0016,0,1695509835567,265230322,20
0.1,,,sell,26572.61,BTC-26SEP23-26500-C,18.71,,0.00796878,0.0075,3,1695509830600,265230320,17
0.5,,,buy,26573.31,BTC-29SEP23-28000-C,32.26,,0.00156384,0.0017,2,1695509772314,265230317,4920
0.1,,,sell,26573.61,BTC-29SEP23-26500-P,24.52,,0.01064186,0.0105,0,1695509744408,265230316,1589
0.1,,,buy,26573.96,BTC-24SEP23-26500-C,6.97,,0.00341948,0.0029,3,1695509655612,265230311,111
0.4,,,buy,26574.71,BTC-13OCT23-27000-C,27.5,,0.0190518,0.019,3,1695509601474,265230307,148
0.3,,,sell,26577.78,BTC-26SEP23-26750-C,20.23,,0.00370871,0.0038,2,1695509596340,265230304,22
0.2,,,buy,26578.26,BTC-29SEP23-25000-P,38.37,,0.00189234,0.002,3,1695509459551,265230291,5132
1.0,,,buy,26578.79,BTC-26SEP23-27250-C,25.87,,0.00109488,0.0012,3,1695509354746,265230279,15
0.1,,,buy,26578.94,BTC-29SEP23-25500-P,32.0,,0.0027683,0.0028,0,1695509335093,265230278,1700
0.1,,,buy,26575.5,BTC-28JUN24-31000-C,50.61,,0.13110749,0.129,2,1695508807691,265230214,189
0.1,,,sell,26577.08,BTC-28JUN24-27000-C,51.81,,0.18468952,0.1865,2,1695508790906,265230211,210
1.8,,,sell,26576.94,BTC-29DEC23-26000-C,40.76,,0.10053158,0.1,3,1695508710317,265230209,767
1.1,,,buy,26577.08,BTC-29DEC23-38000-C,52.35,,0.01499196,0.015,3,1695508692955,265230207,722
1.0,,,buy,26578.18,BTC-13OCT23-33000-C,44.01,,0.0007102,0.0007,3,1695508259633,265230191,23
3.4,,,buy,26584.14,BTC-29DEC23-25000-P,41.67,,0.05187542,0.0515,3,1695507825465,265230170,1655
0.1,,,buy,26576.0,BTC-29DEC23-31000-C,43.68,,0.03872692,0.0385,3,1695506820792,265230045,1061
0.1,,,sell,26575.84,BTC-13OCT23-28500-C,30.6,,0.00650092,0.0065,3,1695506500325,265230017,148
1.0,,,sell,26570.06,BTC-6OCT23-29000-C,32.97,,0.0021885,0.0022,2,1695505447731,265229842,309
4.1,,,buy,26570.05,BTC-29SEP23-28500-C,34.86,,0.00081448,0.0009,1,1695505444247,265229841,1575
0.1,,,sell,26587.08,BTC-29SEP23-32000-C,57.66,,0.00014047,0.0001,3,1695505230544,265229711,4550
1.3,,,buy,26587.85,BTC-25SEP23-26500-C,16.73,,0.00610525,0.006,1,1695505028439,265229708,37
1.1,,,buy,26587.5,BTC-27OCT23-23000-P,42.76,,0.00738764,0.0075,0,1695504865487,265229665,1066
0.5,,,buy,26588.84,BTC-24NOV23-28000-C,37.43,,0.04240778,0.0425,2,1695504771094,265229556,487
0.1,,,sell,26597.73,BTC-26SEP23-26750-P,18.75,,0.01003115,0.0095,2,1695504442837,265229397,16
1.0,,,buy,26597.65,BTC-25SEP23-27000-C,21.49,,0.00077451,0.0009,3,1695504380713,265229393,115
1.0,,,buy,26597.48,BTC-25SEP23-26000-P,26.9,,0.00055366,0.0007,0,1695504192773,265229384,38
0.2,,,sell,26597.27,BTC-27OCT23-28000-P,34.72,,0.07181279,0.072,3,1695503943271,265229367,566
0.1,,,buy,26592.38,BTC-26SEP23-26250-P,23.56,,0.00272634,0.0029,0,1695503895624,265229334,10
0.1,,,sell,26591.0,BTC-27OCT23-27000-P,33.61,,0.04696697,0.047,3,1695503662489,265229281,978
