amount,block_trade_id,block_trade_leg_count,combo_id,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.5,,,,buy,34537.4,BTC-17NOV23-31000-P,51.82,,0.00938674,0.0095,1,1698623998676,269144425,41
0.7,,,,buy,34535.63,BTC-10NOV23-36000-C,55.39,,0.02379911,0.0235,3,1698623975972,269144407,337
13.0,,,,sell,34535.88,BTC-3NOV23-36000-C,58.06,,0.01086743,0.0105,2,1698623949324,269144398,702
0.2,,,,sell,34536.26,BTC-30OCT23-32750-P,78.54,,3.741e-05,0.0001,3,1698623930250,269144397,51
1.6,,,,sell,34541.53,BTC-30OCT23-36500-C,94.11,,0.00032872,0.0003,0,1698623908169,269144385,108
1.0,,,,sell,34548.72,BTC-17NOV23-32500-P,50.83,,0.01902178,0.019,0,1698623885594,269144378,111
1.1,,,,buy,34537.52,BTC-31OCT23-34750-P,55.94,,0.01685242,0.0165,0,1698623836040,269144350,18
1.1,,,,sell,34529.41,BTC-30OCT23-33750-P,46.47,,0.0004287,0.0003,2,1698623795763,269144314,189
1.0,,,,sell,34547.04,BTC-1NOV23-34500-C,55.59,,0.01926015,0.019,2,1698623767706,269144269,16
1.6,,,,sell,34550.98,BTC-30OCT23-35250-C,60.23,,0.00143539,0.0013,2,1698623751596,269144262,81
0.8,,,,buy,34559.22,BTC-31OCT23-34250-P,52.93,,0.00851836,0.0085,0,1698623635047,269144241,30
0.1,,,,buy,34558.66,BTC-30OCT23-34500-C,50.85,,0.00676673,0.007,0,1698623616081,269144232,271
0.3,,,,buy,34558.57,BTC-31OCT23-34500-P,54.41,,0.01223219,0.012,1,1698623517440,269144178,63
2.9,,,,sell,34512.25,BTC-17NOV23-34500-P,50.71,,0.04318321,0.0425,0,1698623397838,269143872,43
0.2,,,,sell,34512.25,BTC-3NOV23-35500-P,56.73,,0.04117124,0.0405,1,1698623397639,269143856,139
2.4,,,,buy,34512.25,BTC-30OCT23-34250-C,54.8,,0.00987016,0.011,3,1698623397393,269143824,143
0.2,,,,sell,34500.2,BTC-31OCT23-35250-P,54.79,,0.02773918,0.0265,1,1698623397299,269143793,4
1.0,,,,sell,34491.18,BTC-28JUN24-23000-P,58.71,,0.03370435,0.0345,3,1698623387572,269143646,244
0.3,,,,sell,34488.84,BTC-31OCT23-34500-C,57.22,,0.01351623,0.014,3,1698623375409,269143580,62
2.0,,,,buy,34488.84,BTC-17NOV23-30500-P,52.08,,0.0075706,0.0075,0,1698623375270,269143573,39
0.5,,,,sell,34488.84,BTC-30OCT23-34750-C,49.8,,0.00275516,0.0031,2,1698623375241,269143569,204
0.4,,,,sell,34490.4,BTC-1NOV23-37500-C,72.72,,0.00205266,0.0022,0,1698623374883,269143545,3
0.4,,,,buy,34490.4,BTC-24NOV23-36000-P,52.22,,0.0762241,0.076,0,1698623374802,269143544,119
0.2,,,,sell,34517.18,BTC-31OCT23-35000-C,57.64,,0.008856,0.0085,3,1698623373607,269143430,174
0.3,,,,buy,34517.18,BTC-30OCT23-34000-P,47.14,,0.00081204,0.001,1,1698623373597,269143429,258
3.7,,,,buy,34517.18,BTC-30OCT23-35000-P,60.92,,0.01528936,0.016,0,1698623373388,269143354,6
