amount,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
1.1,buy,35060.09,BTC-6NOV23-34250-P,50.41,,0.00042379,0.0004,1,1699228600861,269994438,189
0.2,sell,35060.04,BTC-29DEC23-30000-P,58.11,,0.02528066,0.025,3,1699228597847,269994435,2080
0.5,sell,35052.25,BTC-24NOV23-35000-P,54.14,,0.04278327,0.043,0,1699228576303,269994416,660
0.2,buy,35049.35,BTC-10NOV23-35000-P,53.32,,0.02118874,0.021,1,1699228538560,269994385,415
0.1,buy,35054.17,BTC-24NOV23-32000-P,53.82,,0.01311357,0.013,1,1699228521292,269994376,1123
0.1,sell,35074.5,BTC-10NOV23-37000-C,61.4,,0.00916513,0.009,3,1699228389444,269994327,874
0.2,buy,35081.82,BTC-10NOV23-35000-C,53.52,,0.02606149,0.026,0,1699228323657,269994311,937
0.3,sell,35072.93,BTC-8NOV23-34000-P,50.0,,0.0045023,0.0046,0,1699228285529,269994284,25
3.5,sell,35078.65,BTC-7NOV23-38500-C,72.54,,0.00033832,0.0003,3,1699228272044,269994280,28
1.0,buy,35076.79,BTC-24NOV23-26000-P,75.92,,0.00185347,0.002,2,1699228263608,269994279,2295
4.0,sell,35080.26,BTC-7NOV23-39000-C,76.65,,0.00028046,0.0002,0,1699228259418,269994274,20
0.3,buy,35079.49,BTC-10NOV23-31000-P,68.5,,0.00126267,0.0013,3,1699228258622,269994272,506
0.3,buy,35069.72,BTC-8NOV23-34500-P,49.98,,0.00834553,0.0085,0,1699228238747,269994248,50
0.1,buy,35046.47,BTC-7NOV23-35250-P,51.1,,0.01533442,0.015,0,1699228109265,269994132,24
0.3,sell,35060.81,BTC-6NOV23-35500-C,53.79,,0.00250185,0.0022,2,1699228056499,269994042,286
1.6,sell,35072.39,BTC-26JAN24-54000-C,72.65,,0.02450158,0.024,3,1699228032872,269994037,48
0.5,sell,35072.21,BTC-10NOV23-34000-C,52.59,,0.04294793,0.043,0,1699228030455,269994035,621
0.3,sell,35064.89,BTC-6NOV23-35000-C,48.26,,0.00703153,0.007,2,1699227958408,269993938,399
0.2,buy,35075.29,BTC-10NOV23-36000-C,59.12,,0.01549334,0.016,2,1699227936316,269993885,971
0.1,sell,35085.96,BTC-6NOV23-35000-P,43.94,,0.00463641,0.0041,0,1699227821523,269993761,326
0.1,sell,35100.67,BTC-10NOV23-36500-C,59.45,,0.01208742,0.012,1,1699227778873,269993728,629
9.2,sell,35090.33,BTC-29DEC23-26000-P,64.2,,0.00972158,0.0095,2,1699227723849,269993703,2872
0.1,sell,35090.98,BTC-24NOV23-39000-C,59.78,,0.01981352,0.0195,3,1699227703758,269993674,226
0.8,buy,35094.43,BTC-24NOV23-24000-P,85.24,,0.00107635,0.0012,2,1699227689230,269993669,1960
0.1,sell,35093.14,BTC-6NOV23-35750-C,61.44,,0.00159265,0.0017,2,1699227633176,269993637,103
0.2,sell,35127.99,BTC-17NOV23-30500-P,57.75,,0.00329922,0.0031,2,1699227558376,269993525,134
0.2,buy,35124.76,BTC-17NOV23-32000-P,54.23,,0.00685587,0.007,3,1699227539195,269993516,234
0.1,sell,35135.92,BTC-17NOV23-38000-C,58.81,,0.01582428,0.0155,1,1699227518516,269993485,357
0.1,buy,35137.04,BTC-17NOV23-44000-C,71.71,,0.00227319,0.0024,1,1699227449480,269993431,164
0.1,buy,35121.09,BTC-17NOV23-35000-C,52.78,,0.04202085,0.042,0,1699227441406,269993403,244
0.6,buy,35091.42,BTC-29DEC23-31000-P,57.81,,0.03224738,0.032,3,1699227362856,269993243,988
1.0,buy,35092.85,BTC-17NOV23-40000-C,63.54,,0.00802185,0.008,2,1699227232280,269993070,413
0.1,buy,35105.86,BTC-6NOV23-35250-P,47.38,,0.00843722,0.008,0,1699227173834,269993013,96
0.1,sell,35118.42,BTC-7NOV23-31000-P,90.54,,0.00032747,0.0002,2,1699227138477,269992978,21
0.5,buy,35118.02,BTC-24NOV23-38000-C,58.31,,0.02572321,0.0255,2,1699227137824,269992977,2186
0.2,sell,35128.14,BTC-6NOV23-34000-P,56.29,,0.00043521,0.0002,2,1699227121364,269992930,164
0.4,sell,35148.44,BTC-29MAR24-29000-P,60.74,,0.05810098,0.0565,2,1699226858537,269992559,460
0.5,sell,35151.76,BTC-7NOV23-36000-C,57.48,,0.0056257,0.0055,2,1699226837848,269992509,71
1.0,buy,35168.74,BTC-8NOV23-31000-P,79.37,,0.00041525,0.0005,2,1699226749911,269992351,18
0.8,sell,35156.85,BTC-7NOV23-31500-P,92.51,,0.00055821,0.0005,1,1699226717855,269992290,21
9.0,sell,35151.17,BTC-7NOV23-35500-C,57.3,,0.00967547,0.01,1,1699226715229,269992275,87
0.1,sell,35195.44,BTC-17NOV23-39000-C,61.02,,0.01153842,0.0115,1,1699226653306,269992115,381
3.4,sell,35208.23,BTC-10NOV23-26000-P,111.55,,0.00022631,0.0002,3,1699226625487,269992079,114
0.2,buy,35211.94,BTC-10NOV23-34500-P,51.77,,0.01245121,0.0125,1,1699226625040,269992078,753
0.2,buy,35216.56,BTC-10NOV23-33000-P,55.88,,0.0036345,0.0039,0,1699226610059,269992051,687
9.0,sell,35214.61,BTC-10NOV23-37500-C,64.36,,0.00749545,0.008,1,1699226600651,269992025,758
0.2,buy,35214.08,BTC-8NOV23-36500-C,60.39,,0.00676718,0.007,0,1699226599605,269992022,13
0.3,sell,35211.69,BTC-29DEC23-39000-C,61.8,,0.06068922,0.061,1,1699226578525,269991991,1578
0.1,sell,35237.83,BTC-24NOV23-37000-C,56.92,,0.03436661,0.0345,3,1699226562002,269991884,783
0.1,buy,35242.0,BTC-6NOV23-34750-P,53.24,,0.00173143,0.0018,0,1699226496208,269991703,325
0.3,buy,35242.0,BTC-7NOV23-35250-C,53.49,,0.01304401,0.0135,2,1699226495826,269991701,168
0.1,buy,35251.81,BTC-10NOV23-38000-C,64.93,,0.00566075,0.006,0,1699226488971,269991681,864
0.6,buy,35252.65,BTC-8NOV23-37000-C,62.85,,0.00475379,0.005,0,1699226487483,269991679,19
0.3,sell,35270.91,BTC-17NOV23-37000-C,56.55,,0.02324852,0.023,1,1699226445386,269991543,283
0.3,sell,35276.43,BTC-6NOV23-34500-P,57.47,,0.00092964,0.0009,0,1699226441453,269991537,293
0.3,buy,35278.91,BTC-29DEC23-34000-P,57.85,,0.0613085,0.061,2,1699226439441,269991533,602
