amount,block_trade_id,block_trade_leg_count,combo_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.4,,,,0.4,sell,42266.32,BTC-28JUN24-35000-C,62.6,,0.29492904,0.2955,0,1704067197180,277373585,524
0.1,,,,0.1,buy,42263.68,BTC-3JAN24-40500-P,53.47,,0.0031863,0.0031,0,1704067188903,277373584,9
0.2,,,,0.2,sell,42259.66,BTC-19JAN24-39000-P,66.45,,0.02245707,0.0225,1,1704067188124,277373583,116
2.3,,,,2.3,buy,42260.69,BTC-2JAN24-38500-P,75.49,,0.00028677,0.0003,1,1704067121040,277373540,25
0.3,,,,0.3,sell,42261.18,BTC-1JAN24-42000-P,37.83,,0.00215472,0.002,2,1704067119488,277373539,233
0.1,,,,0.1,buy,42260.71,BTC-12JAN24-32000-P,85.76,,0.00141086,0.0014,1,1704067107606,277373537,187
0.1,,,,0.1,sell,42260.56,BTC-23FEB24-30000-P,68.69,,0.00744676,0.0075,3,1704067106477,277373536,333
0.2,,,,0.2,buy,42255.77,BTC-28JUN24-30000-C,64.3,,0.37595212,0.3755,2,1704067067438,277373529,761
0.1,,,,0.1,buy,42247.25,BTC-1JAN24-42750-C,43.4,,0.00118515,0.0014,0,1704067043051,277373520,222
0.3,,,,0.3,sell,42215.6,BTC-1JAN24-42500-C,40.69,,0.00222442,0.0024,2,1704066976964,277373507,232
0.1,,,,0.1,sell,42212.89,BTC-1JAN24-44000-C,62.09,,0.00026232,0.0001,3,1704066921393,277373479,335
0.1,,,,0.1,sell,42213.0,BTC-5JAN24-42500-C,53.93,,0.02274045,0.0225,0,1704066917277,277373475,288
0.4,,,,0.4,sell,42212.91,BTC-1JAN24-44250-C,69.38,,0.00024661,0.0001,3,1704066910801,277373472,60
1.1,,,,1.1,sell,42213.89,BTC-1JAN24-44500-C,76.5,,0.00017529,0.0001,3,1704066896248,277373466,101
1.0,,,,1.0,buy,42221.08,BTC-3JAN24-45500-C,63.12,,0.00158024,0.0018,1,1704066858366,277373458,12
0.4,,,,0.4,buy,42224.71,BTC-26JAN24-40000-P,63.93,,0.03564911,0.0355,0,1704066821846,277373453,1419
0.2,,,,0.2,sell,42215.39,BTC-27DEC24-40000-C,61.77,,0.3124871,0.3105,0,1704066783230,277373438,12
0.2,,,,0.2,sell,42216.26,BTC-19JAN24-55000-C,72.67,,0.00532298,0.005,3,1704066765601,277373435,259
0.1,,,,0.1,sell,42237.78,BTC-1JAN24-43500-C,55.17,,0.00036188,0.0003,3,1704066647444,277373381,281
0.1,,,,0.1,sell,42244.77,BTC-19JAN24-48000-C,66.67,,0.0209169,0.0205,1,1704066644073,277373373,109
0.1,,,,0.1,sell,42244.77,BTC-3JAN24-41750-P,49.44,,0.00971592,0.0095,2,1704066643818,277373372,22
0.3,,,,0.3,sell,42235.99,BTC-12JAN24-52000-C,75.95,,0.00485032,0.0046,3,1704066607511,277373360,232
