amount,block_trade_id,block_trade_leg_count,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,0.1,buy,42570.99,BTC-16FEB24-45000-C,39.37,0.00888181,0.009,1,1707091164559,282613607,526
0.1,,,0.1,sell,42580.03,BTC-5FEB24-42500-P,27.98,0.00292975,0.0025,3,1707091106402,282613585,190
0.1,,,0.1,sell,42580.03,BTC-5FEB24-42750-C,27.29,0.00219229,0.0017,2,1707091106383,282613584,48
0.1,,,0.1,buy,42572.7,BTC-6FEB24-44500-C,43.12,0.0004229,0.0005,1,1707091012851,282613570,39
0.1,,,0.1,buy,42572.7,BTC-7FEB24-43500-C,38.74,0.00458997,0.0046,2,1707091012639,282613568,55
1.0,,,1.0,buy,42560.23,BTC-5FEB24-42000-P,36.23,0.00060099,0.0006,1,1707090953557,282613551,214
0.4,,,0.4,buy,42566.67,BTC-5FEB24-43500-C,46.76,0.00031701,0.0004,1,1707090944233,282613538,438
0.2,,,0.2,sell,42581.72,BTC-7FEB24-45000-C,44.71,0.0011094,0.001,0,1707090925382,282613460,5
0.4,,,0.4,buy,42590.12,BTC-23FEB24-43000-C,38.42,0.0315495,0.0315,3,1707090840865,282613396,1291
0.6,,,0.6,sell,42591.03,BTC-5FEB24-42250-P,29.69,0.00122653,0.0009,1,1707090812454,282613387,87
0.6,,,0.6,sell,42591.03,BTC-5FEB24-43000-C,29.83,0.00100017,0.0007,3,1707090812294,282613386,487
0.1,,,0.1,buy,42587.63,BTC-5FEB24-43750-C,48.38,0.00024337,0.0002,2,1707090721797,282613309,9
3.1,,,3.1,buy,42584.86,BTC-29MAR24-32000-P,50.57,0.0043845,0.0044,3,1707090671533,282613284,734
0.9,,,0.9,sell,42574.76,BTC-5FEB24-41000-P,57.7,0.00019803,0.0001,3,1707090527826,282613266,55
0.1,,,0.1,sell,42575.65,BTC-29MAR24-57000-C,49.09,0.00652093,0.0065,2,1707090510358,282613249,98
2.0,,,2.0,sell,42578.0,BTC-9FEB24-38000-P,53.24,0.00058629,0.0005,1,1707090490618,282613237,843
6.0,,,6.0,sell,42575.91,BTC-29MAR24-35000-P,46.56,0.0097365,0.0095,2,1707090484910,282613236,1404
0.3,,,0.3,sell,42574.7,BTC-16FEB24-36000-P,52.42,0.00110803,0.0011,1,1707090483652,282613227,145
0.1,,,0.1,sell,42561.54,BTC-16FEB24-40000-P,41.69,0.00751977,0.0075,1,1707090447283,282613190,498
1.0,,,1.0,sell,42561.58,BTC-5FEB24-44000-C,51.24,0.00014331,0.0001,2,1707090389585,282613051,232
0.1,,,0.1,sell,42560.07,BTC-5FEB24-44500-C,65.89,2.642e-05,0.0001,3,1707090377889,282613044,59
1.0,,,1.0,buy,42547.13,BTC-5FEB24-42500-C,28.58,0.00455039,0.0041,0,1707090281413,282613028,54
0.1,,,0.1,buy,42545.48,BTC-5FEB24-43000-P,34.38,0.01151654,0.0115,0,1707090158905,282612947,216
0.2,,,0.2,sell,42570.26,BTC-9FEB24-41500-P,39.33,0.00757895,0.007,2,1707089857887,282612850,178
7.0,,,7.0,buy,42554.92,BTC-29MAR24-34000-P,47.95,0.00737066,0.0075,2,1707089824493,282612822,476
0.1,,,0.1,buy,42601.83,BTC-23FEB24-45000-C,38.94,0.01523387,0.0155,1,1707089608529,282612538,1935
0.1,,,0.1,sell,42602.13,BTC-29MAR24-65000-C,55.7,0.00259876,0.0027,2,1707089550051,282612417,1915
0.1,,,0.1,sell,42603.23,BTC-29MAR24-30000-P,55.08,0.00291834,0.003,2,1707089469251,282612183,1433
0.4,,,0.4,sell,42570.51,BTC-16FEB24-54000-C,59.35,0.00050359,0.0005,3,1707089216557,282611963,46
0.6,,,0.6,sell,42564.23,BTC-6FEB24-42000-P,36.24,0.00388815,0.0036,2,1707089194332,282611945,76
0.2,,,0.2,sell,42584.14,BTC-29MAR24-49000-C,43.49,0.0225037,0.0225,1,1707088956028,282611868,576
0.1,,,0.1,buy,42551.78,BTC-28JUN24-55000-C,52.6,0.05554688,0.0555,2,1707088865326,282611790,1223
0.3,,,0.3,sell,42565.3,BTC-9FEB24-42500-C,39.84,0.01828475,0.0185,2,1707088781106,282611756,82
0.6,,,0.6,sell,42556.81,BTC-7FEB24-44000-C,38.9,0.00266265,0.0024,2,1707088702781,282611706,48
0.2,,,0.2,buy,42584.52,BTC-9FEB24-42000-P,40.04,0.01105345,0.011,3,1707088572075,282611625,668
1.0,,,1.0,sell,42591.27,BTC-28JUN24-48000-C,51.19,0.09439059,0.0945,3,1707088557168,282611587,236
5.1,,,5.1,sell,42593.93,BTC-16FEB24-37000-P,49.94,0.00184106,0.0018,3,1707088543842,282611578,312
0.3,,,0.3,buy,42606.98,BTC-6FEB24-42500-P,36.22,0.00759192,0.0075,3,1707088469195,282611542,181
0.5,,,0.5,sell,42619.13,BTC-9FEB24-44000-P,40.35,0.03791935,0.038,0,1707088379372,282611464,55
0.1,,,0.1,sell,42603.39,BTC-7FEB24-43000-C,36.94,0.00829834,0.008,1,1707088195935,282611285,22
1.3,,,1.3,sell,42619.37,BTC-7FEB24-48000-C,58.73,0.00020739,0.0001,1,1707088030331,282611195,10
0.4,,,0.4,buy,42620.96,BTC-5FEB24-45000-C,75.23,3.98e-06,0.0001,3,1707088027045,282611194,61
0.2,,,0.2,buy,42621.99,BTC-9FEB24-45000-C,41.75,0.00301441,0.0028,1,1707087989855,282611175,1676
1.3,,,1.3,buy,42604.32,BTC-9FEB24-44000-C,39.57,0.00617263,0.006,1,1707087938731,282611043,1752
0.1,,,0.1,buy,42602.14,BTC-29MAR24-45000-C,42.02,0.04612029,0.046,2,1707087921959,282610970,3374
0.1,,,0.1,buy,42567.42,BTC-29MAR24-41000-P,42.69,0.04180945,0.042,2,1707087887881,282610907,833
0.5,,,0.5,sell,42589.37,BTC-7FEB24-42500-C,38.08,0.01351284,0.0135,1,1707087754913,282610775,11
0.4,,,0.4,buy,42587.21,BTC-23FEB24-42000-P,38.8,0.02667535,0.0265,2,1707087748309,282610758,959
0.1,,,0.1,buy,42570.59,BTC-16FEB24-50000-C,51.56,0.00146322,0.0016,1,1707087697204,282610654,285
2.8,,,2.8,buy,42543.05,BTC-5FEB24-41500-P,43.29,0.00022025,0.0002,2,1707087628913,282610487,66
0.1,,,0.1,sell,42540.17,BTC-5FEB24-41000-C,73.8,0.03618946,0.0365,1,1707087627151,282610448,1
0.4,,,0.4,buy,42517.82,BTC-9FEB24-43000-P,40.35,0.02249811,0.023,2,1707087601992,282610295,425
1.0,,,1.0,buy,42559.45,BTC-9FEB24-40000-P,45.49,0.00228715,0.0024,3,1707087600786,282610225,1107
0.1,,,0.1,sell,42544.58,BTC-23FEB24-40000-P,40.92,0.01251661,0.0125,3,1707087595891,282610012,1473
0.2,,,0.2,buy,42558.8,BTC-16FEB24-43000-C,38.18,0.02307943,0.023,2,1707087546980,282609992,328
0.5,,,0.5,sell,42520.37,BTC-9FEB24-43000-C,39.42,0.01241613,0.0125,0,1707087415903,282609866,1320
0.1,,,0.1,buy,42552.53,BTC-23FEB24-40000-C,39.88,0.07573103,0.075,2,1707087398760,282609845,419
0.1,,,0.1,buy,42571.67,BTC-23FEB24-39000-P,42.98,0.00822346,0.0085,1,1707087195884,282609747,1525
0.5,,,0.5,sell,42546.05,BTC-9FEB24-50000-C,56.58,0.00015391,0.0001,2,1707087181059,282609716,448
0.1,,,0.1,buy,42517.05,BTC-6FEB24-42500-C,36.03,0.00902182,0.009,2,1707087070643,282609554,6
0.4,,,0.4,sell,42520.65,BTC-6FEB24-43000-C,37.21,0.00442115,0.0047,3,1707087056406,282609365,185
4.0,,,4.0,buy,42570.52,BTC-16FEB24-34000-P,57.46,0.00033787,0.0004,1,1707087032121,282609290,144
0.2,,,0.2,buy,42581.79,BTC-16FEB24-43000-P,38.79,0.0311546,0.0315,0,1707087028367,282609280,306
1.3,,,1.3,buy,42612.28,BTC-16FEB24-44000-C,38.62,0.01479613,0.015,0,1707087001332,282609228,777
0.4,,,0.4,sell,42585.88,BTC-5FEB24-42750-P,41.5,0.0068896,0.0075,1,1707086951144,282609165,243
0.2,,,0.2,sell,42578.16,BTC-29MAR24-56000-C,48.45,0.00746361,0.0075,3,1707086943471,282609154,128
0.2,,,0.2,sell,42563.81,BTC-23FEB24-37000-P,46.69,0.0036988,0.0038,0,1707086906023,282609110,1590
0.9,,,0.9,sell,42557.76,BTC-7FEB24-47000-C,57.73,0.00030348,0.0003,2,1707086889137,282609092,10
0.1,,,0.1,buy,42577.54,BTC-7FEB24-42000-P,39.95,0.00680863,0.007,2,1707086857373,282609066,123
0.1,,,0.1,buy,42542.24,BTC-26APR24-70000-C,55.21,0.00454545,0.0043,3,1707086826517,282608800,90
0.1,,,0.1,sell,42518.69,BTC-7FEB24-42500-P,36.9,0.01187314,0.0115,2,1707086769057,282608646,37
0.1,,,0.1,buy,42514.36,BTC-29MAR24-60000-C,52.22,0.00444851,0.0047,2,1707086756908,282608605,2730
0.9,,,0.9,sell,42498.0,BTC-5FEB24-43250-C,44.51,0.00074405,0.0008,1,1707086741451,282608567,124
0.2,,,0.2,sell,42475.93,BTC-9FEB24-41000-P,41.61,0.0056211,0.0055,1,1707086670171,282608488,1003
0.7,,,0.7,buy,42468.61,BTC-29MAR24-48000-C,42.93,0.02595052,0.026,2,1707086644287,282608413,931
0.2,,,0.2,buy,42467.69,BTC-26APR24-48000-C,46.55,0.04807101,0.048,2,1707086642401,282608411,86
1.1,,,1.1,sell,42428.53,BTC-16FEB24-41000-P,39.25,0.01331806,0.013,0,1707086536643,282608239,605
0.5,,,0.5,buy,42382.2,BTC-7FEB24-38000-P,60.3,0.00021683,0.0002,0,1707086497649,282608201,5
0.2,,,0.2,buy,42434.2,BTC-29MAR24-47000-C,42.59,0.03087515,0.031,1,1707086438010,282607763,880
1.8,,,1.8,sell,42434.28,BTC-7FEB24-41500-P,39.46,0.00481843,0.0045,0,1707086434824,282607717,11
