amount,block_trade_id,block_trade_leg_count,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,0.1,sell,64033.09,BTC-7MAY24-67000-C,55.1,,0.001527,0.0014,3,1714953517970,300541110,62
1.0,,,1.0,buy,64031.72,BTC-6MAY24-64000-P,40.54,,0.00465885,0.0046,2,1714953509716,300541108,148
0.1,,,0.1,buy,64031.85,BTC-8MAY24-67500-C,57.23,,0.00308206,0.003,2,1714953481426,300541106,5
0.1,,,0.1,sell,64030.27,BTC-17MAY24-72000-C,59.98,,0.00822285,0.008,2,1714953461415,300541105,558
0.3,,,0.3,sell,64034.69,BTC-7MAY24-63500-P,53.79,,0.00946737,0.009,2,1714953435507,300541101,111
0.1,,,0.1,buy,64052.11,BTC-7MAY24-62500-P,58.87,,0.00488961,0.005,1,1714953420551,300541099,66
19.6,,,19.6,buy,64061.07,BTC-31MAY24-82000-C,63.84,,0.00686808,0.0065,1,1714953389434,300541086,997
0.2,,,0.2,sell,64066.31,BTC-7MAY24-60000-P,67.77,,0.0008423,0.0009,1,1714953368265,300541074,57
0.1,,,0.1,sell,64066.4,BTC-17MAY24-58000-P,56.78,,0.00800152,0.0075,2,1714953368074,300541073,903
1.0,,,1.0,sell,64071.49,BTC-10MAY24-78000-C,72.89,,0.00025204,0.0002,3,1714953362702,300541072,443
0.1,,,0.1,buy,64080.38,BTC-10MAY24-70000-C,60.93,,0.00309344,0.0031,0,1714953351397,300541065,1288
0.1,,,0.1,sell,64079.49,BTC-10MAY24-72000-C,62.93,,0.001471,0.0014,2,1714953334321,300541064,845
0.1,,,0.1,buy,64065.58,BTC-31MAY24-66000-C,56.57,,0.04885991,0.049,3,1714953304213,300541060,1134
0.1,,,0.1,buy,64058.78,BTC-8MAY24-67000-C,56.37,,0.00402794,0.004,0,1714953303475,300541059,8
0.1,,,0.1,sell,64063.54,BTC-8MAY24-63000-P,53.06,,0.00945795,0.0095,3,1714953209397,300540964,15
0.1,,,0.1,buy,64077.65,BTC-10MAY24-56000-P,70.58,,0.00120498,0.0011,2,1714953178141,300540956,895
0.1,,,0.1,buy,64044.4,BTC-28JUN24-90000-C,65.85,,0.01332334,0.0135,1,1714953146820,300540930,2165
0.1,,,0.1,sell,64009.28,BTC-27SEP24-100000-C,65.92,,0.04250187,0.043,2,1714953112044,300540863,1500
0.1,,,0.1,buy,64013.38,BTC-7MAY24-63000-P,56.83,,0.00676354,0.007,1,1714953101413,300540856,154
0.1,,,0.1,sell,64011.25,BTC-7MAY24-57000-P,85.13,,7.339e-05,0.0002,0,1714953100503,300540854,38
0.2,,,0.2,sell,64012.75,BTC-31MAY24-65000-C,56.29,,0.05498574,0.055,2,1714953095167,300540821,1564
0.6,,,0.6,sell,64008.31,BTC-7MAY24-64000-P,52.88,,0.01242686,0.0125,1,1714953090220,300540814,49
0.3,,,0.3,sell,63999.39,BTC-7MAY24-66000-C,54.12,,0.00307357,0.0032,1,1714953080877,300540808,126
0.3,,,0.3,sell,63999.39,BTC-7MAY24-66500-C,55.22,,0.00211915,0.0022,2,1714953080286,300540807,42
0.1,,,0.1,buy,63999.57,BTC-8MAY24-62000-P,53.86,,0.00546275,0.0055,0,1714953080086,300540806,21
0.2,,,0.2,buy,63999.57,BTC-7MAY24-63500-C,55.81,,0.01779533,0.018,1,1714953079707,300540805,22
0.1,,,0.1,sell,64008.32,BTC-24MAY24-46000-P,72.73,,0.00102306,0.001,3,1714952974318,300540681,41
0.1,,,0.1,buy,64000.9,BTC-7MAY24-64000-C,52.68,,0.01254805,0.013,1,1714952969565,300540672,100
0.3,,,0.3,buy,64001.37,BTC-7MAY24-62000-P,56.98,,0.00284801,0.0032,0,1714952965838,300540660,72
0.2,,,0.2,sell,63998.44,BTC-26JUL24-70000-C,59.19,,0.08276037,0.083,0,1714952956445,300540642,84
0.2,,,0.2,buy,63996.13,BTC-7MAY24-61000-P,58.87,,0.00118294,0.0014,3,1714952946667,300540633,38
1.2,,,1.2,buy,63996.17,BTC-7MAY24-70000-C,66.58,,0.0001767,0.0002,3,1714952944527,300540625,27
0.2,,,0.2,buy,63996.17,BTC-7MAY24-60500-P,61.29,,0.00083583,0.001,1,1714952944451,300540624,24
1.0,,,1.0,sell,63992.89,BTC-7MAY24-64500-C,50.99,,0.00878582,0.009,3,1714952943941,300540619,51
1.3,,,1.3,buy,63989.62,BTC-7MAY24-61500-P,56.72,,0.00174405,0.002,2,1714952942548,300540607,35
0.2,,,0.2,buy,64002.08,BTC-8MAY24-61000-P,53.23,,0.00285572,0.0026,0,1714952929170,300540575,25
0.6,,,0.6,sell,64032.71,BTC-8MAY24-65000-C,53.31,,0.01092423,0.011,0,1714952856997,300540508,22
0.1,,,0.1,sell,64037.73,BTC-31MAY24-67000-C,56.69,,0.0428707,0.043,2,1714952856199,300540475,939
0.2,,,0.2,sell,64041.71,BTC-8MAY24-66000-C,51.87,,0.00656833,0.006,2,1714952793824,300540450,27
0.1,,,0.1,sell,64054.78,BTC-8MAY24-64500-C,52.46,,0.01406236,0.014,2,1714952690918,300540417,14
0.1,,,0.1,buy,64074.47,BTC-6MAY24-63500-P,38.59,,0.00176266,0.0015,1,1714952645825,300540409,144
0.2,,,0.2,sell,64067.99,BTC-17MAY24-55000-P,61.25,,0.00350694,0.0033,2,1714952576361,300540387,232
0.1,,,0.1,buy,64095.61,BTC-10MAY24-60000-P,58.63,,0.00475813,0.0046,0,1714952526595,300540374,1252
0.4,,,0.4,sell,64130.08,BTC-17MAY24-70000-C,58.23,,0.01276273,0.0125,1,1714952491223,300540357,778
1.5,,,1.5,sell,64118.5,BTC-17MAY24-62000-P,54.4,,0.02264068,0.022,2,1714952463664,300540331,498
0.1,,,0.1,sell,64125.44,BTC-8MAY24-68500-C,57.49,,0.00196204,0.0017,1,1714952414563,300540320,1
0.1,,,0.1,buy,64190.05,BTC-24MAY24-66000-P,56.38,,0.06324824,0.063,2,1714952313865,300540276,28
2.5,,,2.5,buy,64210.35,BTC-7MAY24-65000-P,50.29,,0.01901839,0.019,1,1714952308399,300540252,2
1.0,,,1.0,sell,64204.73,BTC-7MAY24-59000-P,68.47,,0.00029083,0.0003,2,1714952251066,300540228,112
0.1,,,0.1,buy,64220.21,BTC-24MAY24-62000-P,56.34,,0.03193453,0.032,3,1714952231484,300540223,58
0.1,,,0.1,sell,64214.54,BTC-17MAY24-59000-P,57.04,,0.01002551,0.01,0,1714952221951,300540222,487
1.0,,,1.0,buy,64184.96,BTC-31MAY24-48000-P,67.95,,0.00309199,0.0031,2,1714952194735,300540190,580
0.1,,,0.1,buy,64174.35,BTC-6MAY24-64500-C,41.08,,0.00278483,0.003,0,1714952132839,300540128,186
0.1,,,0.1,buy,64171.42,BTC-24MAY24-64000-P,55.99,,0.04618055,0.046,0,1714952118830,300540121,55
0.1,,,0.1,sell,64182.09,BTC-24MAY24-74000-C,59.87,,0.01201636,0.0115,0,1714952061447,300540115,254
0.1,,,0.1,sell,64181.74,BTC-24MAY24-57000-P,57.81,,0.01127566,0.011,2,1714952048577,300540107,279
0.1,,,0.1,buy,64190.24,BTC-24MAY24-60000-P,57.27,,0.02155814,0.022,0,1714952037487,300540101,78
0.1,,,0.1,buy,64188.85,BTC-24MAY24-63000-P,56.0,,0.03858015,0.0385,1,1714952014758,300540100,63
0.2,,,0.2,sell,64188.85,BTC-31MAY24-57000-P,57.87,,0.01660745,0.0165,2,1714952014626,300540099,914
0.1,,,0.1,buy,64183.8,BTC-31MAY24-69000-C,57.26,,0.03388166,0.034,2,1714951948847,300540080,1111
