amount,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,0.1,sell,60813.71,BTC-28JUN24-80000-C,59.0,,0.01259206,0.0125,1,1715471996894,301161186,4047
5.0,5.0,sell,60811.8,BTC-24MAY24-54000-P,55.2,,0.00570372,0.0055,0,1715471980698,301161185,217
0.1,0.1,buy,60810.93,BTC-24MAY24-65000-C,48.45,,0.01245863,0.0125,2,1715471958386,301161184,375
5.0,5.0,buy,60808.92,BTC-24MAY24-61000-C,49.39,,0.03495942,0.0355,3,1715471954933,301161183,131
0.5,0.5,sell,60792.25,BTC-12MAY24-62500-C,49.71,,0.00016309,0.0002,1,1715471820591,301161155,120
0.1,0.1,sell,60779.33,BTC-17MAY24-58000-P,49.32,,0.00751157,0.007,1,1715471763403,301161139,1291
0.5,0.5,sell,60766.42,BTC-14MAY24-60000-P,42.57,,0.00764701,0.008,0,1715471690156,301161136,14
0.1,0.1,sell,60786.95,BTC-31MAY24-73000-C,55.47,,0.00517105,0.005,3,1715471598741,301161119,1710
0.2,0.2,sell,60784.74,BTC-24MAY24-64000-C,47.81,,0.01629072,0.016,3,1715471589830,301161118,408
0.1,0.1,sell,60785.18,BTC-31MAY24-52000-P,56.73,,0.00683906,0.0065,1,1715471586225,301161115,1019
0.1,0.1,sell,60794.91,BTC-24MAY24-69000-C,51.51,,0.00460176,0.0044,3,1715471504783,301161103,165
0.1,0.1,sell,60794.93,BTC-24MAY24-68000-C,50.15,,0.00586217,0.0055,3,1715471492858,301161099,256
0.6,0.6,sell,60793.86,BTC-17MAY24-78000-C,75.31,,0.00013156,0.0001,2,1715471468359,301161095,382
1.0,1.0,sell,60792.2,BTC-17MAY24-74000-C,65.85,,0.00024842,0.0002,2,1715471458114,301161093,491
0.1,0.1,sell,60792.21,BTC-17MAY24-59000-P,48.48,,0.01144824,0.011,0,1715471414066,301161088,986
1.0,1.0,sell,60789.76,BTC-13MAY24-64500-C,49.9,,0.00027887,0.0003,1,1715471402898,301161086,30
0.6,0.6,sell,60797.73,BTC-14MAY24-62000-C,40.12,,0.00545871,0.0055,3,1715471145791,301161016,38
0.3,0.3,buy,60790.93,BTC-13MAY24-61000-P,34.17,,0.01024083,0.01,0,1715471112603,301160990,69
0.2,0.2,buy,60808.22,BTC-13MAY24-61000-C,34.73,,0.00717963,0.007,3,1715470955152,301160967,71
0.1,0.1,sell,60804.35,BTC-17MAY24-64000-C,46.99,,0.00622588,0.006,2,1715470917468,301160948,1278
0.3,0.3,sell,60787.25,BTC-13MAY24-59500-P,41.44,,0.00265763,0.0027,0,1715470894288,301160942,35
0.6,0.6,buy,60763.06,BTC-12MAY24-59500-P,45.45,,0.00036551,0.0004,0,1715470863947,301160907,187
0.3,0.3,buy,60770.34,BTC-13MAY24-62500-C,40.54,,0.00133191,0.0016,2,1715470849013,301160898,66
1.0,1.0,sell,60767.35,BTC-13MAY24-60500-P,37.73,,0.00633369,0.0065,0,1715470845951,301160857,59
0.5,0.5,buy,60794.3,BTC-13MAY24-60000-P,39.06,,0.00391397,0.004,0,1715470844802,301160797,101
0.8,0.8,sell,60818.47,BTC-13MAY24-63500-C,46.09,,0.00077315,0.0008,1,1715470844736,301160788,45
0.1,0.1,buy,60843.44,BTC-14MAY24-62500-C,41.22,,0.00377282,0.004,2,1715470840322,301160702,26
0.1,0.1,buy,60850.84,BTC-31MAY24-53000-P,56.39,,0.0085551,0.0085,0,1715470759242,301160685,889
0.1,0.1,buy,60865.28,BTC-28JUN24-47000-P,58.06,,0.00856446,0.0085,0,1715470750356,301160674,432
0.2,0.2,sell,60872.47,BTC-14MAY24-63000-C,41.98,,0.00268826,0.0028,3,1715470713774,301160660,46
0.1,0.1,sell,60884.64,BTC-12MAY24-61500-C,25.83,,0.00058092,0.0004,2,1715470678388,301160646,142
0.1,0.1,buy,60905.05,BTC-24MAY24-59000-P,50.06,,0.02210499,0.022,0,1715470479099,301160590,323
6.0,6.0,buy,60904.18,BTC-31MAY24-56000-P,54.05,,0.01661645,0.017,0,1715470445614,301160585,1239
0.6,0.6,sell,60905.73,BTC-13MAY24-58500-P,44.72,,0.00098306,0.0008,3,1715470395511,301160582,30
0.1,0.1,buy,60905.11,BTC-28JUN24-52000-P,55.2,,0.02009706,0.02,0,1715470385432,301160579,646
0.7,0.7,buy,60905.11,BTC-28JUN24-60000-P,53.44,,0.06298039,0.0635,1,1715470385396,301160576,3510
5.0,5.0,sell,60911.58,BTC-13MAY24-58000-P,47.27,,0.00064636,0.0005,3,1715470357445,301160573,96
0.1,0.1,sell,60973.91,BTC-12MAY24-61000-C,22.97,,0.00329455,0.0026,2,1715469997413,301160527,182
