amount,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.3,,,0.3,sell,66192.5,BTC-28JUN24-68000-C,42.38,0.02105064,0.021,1,1718495975750,305442079,2292
0.1,,,0.1,sell,66192.13,BTC-17JUN24-68000-C,34.31,0.00112156,0.001,2,1718495948860,305442078,76
0.3,,,0.3,buy,66191.97,BTC-5JUL24-70000-C,44.41,0.02131372,0.021,1,1718495920316,305442077,106
0.1,,,0.1,sell,66192.59,BTC-27SEP24-24000-P,77.01,0.00033655,0.0004,3,1718495890278,305442075,163
0.3,,,0.3,buy,66191.99,BTC-17JUN24-66000-P,29.2,0.00559083,0.0055,2,1718495874913,305442074,96
0.1,,,0.1,sell,66192.01,BTC-28JUN24-72000-C,43.87,0.00745545,0.007,2,1718495862151,305442073,2112
0.1,,,0.1,buy,66192.92,BTC-28JUN24-41000-P,93.5,0.00012771,0.0001,3,1718495816814,305442072,639
0.1,,,0.1,sell,66193.05,BTC-26JUL24-82000-C,52.1,0.01152064,0.0115,3,1718495797388,305442071,514
0.1,,,0.1,buy,66193.75,BTC-28JUN24-75000-C,47.25,0.00339346,0.0034,3,1718495764278,305442068,8473
0.9,,,0.9,buy,66194.25,BTC-30AUG24-76000-C,53.11,0.05254022,0.0525,1,1718495751042,305442064,252
0.3,,,0.3,sell,66195.45,BTC-5JUL24-64000-P,43.72,0.02336714,0.023,3,1718495649808,305442053,115
0.1,,,0.1,sell,66187.03,BTC-16JUN24-66000-P,21.51,0.00165958,0.0014,2,1718495612869,305442042,232
0.1,,,0.1,sell,66187.03,BTC-16JUN24-66500-C,21.22,0.00121515,0.0009,2,1718495612851,305442041,267
1.0,,,1.0,sell,66188.12,BTC-16JUN24-67000-C,29.98,0.00039684,0.0004,0,1718495458058,305441977,369
0.1,,,0.1,buy,66190.29,BTC-16JUN24-64000-P,62.91,7.57e-05,0.0003,0,1718495422199,305441969,129
1.0,,,1.0,buy,66180.9,BTC-5JUL24-63000-C,43.83,0.0720267,0.0715,0,1718495403744,305441949,62
0.6,,,0.6,sell,66182.16,BTC-28JUN24-64000-C,43.1,0.05235543,0.0525,1,1718495388397,305441945,1437
0.3,,,0.3,buy,66182.95,BTC-28JUN24-64000-P,42.79,0.01605303,0.016,3,1718495375897,305441938,2327
1.0,,,1.0,buy,66183.14,BTC-30AUG24-74000-C,53.04,0.06077223,0.061,1,1718495373421,305441936,279
0.9,,,0.9,buy,66183.47,BTC-30AUG24-75000-C,53.03,0.05646356,0.0565,1,1718495348352,305441932,346
0.8,,,0.8,sell,66186.81,BTC-5JUL24-62000-P,44.81,0.0146448,0.0145,3,1718495306375,305441917,39
0.1,,,0.1,buy,66180.15,BTC-28JUN24-74000-C,46.46,0.00432276,0.0044,2,1718495297745,305441912,1701
1.0,,,1.0,sell,66182.79,BTC-30AUG24-72000-C,52.81,0.07045887,0.0705,2,1718495285590,305441906,301
0.1,,,0.1,buy,66185.69,BTC-26JUL24-63000-P,48.13,0.03653332,0.0365,3,1718495284628,305441892,453
0.1,,,0.1,buy,66185.81,BTC-28JUN24-66000-C,42.78,0.0342031,0.0345,0,1718495265298,305441884,1267
0.1,,,0.1,sell,66194.17,BTC-16JUN24-68000-C,42.82,0.00014429,0.0001,2,1718495238206,305441862,164
0.1,,,0.1,sell,66193.63,BTC-21JUN24-72000-C,46.18,0.00181218,0.0018,0,1718495186454,305441842,1188
0.9,,,0.9,buy,66193.34,BTC-16JUN24-65000-P,38.35,0.00043967,0.0003,3,1718495144221,305441826,285
0.1,,,0.1,buy,66196.58,BTC-21JUN24-64000-P,41.54,0.00700984,0.007,1,1718495120199,305441815,997
1.0,,,1.0,sell,66204.11,BTC-30AUG24-71000-C,52.79,0.07609532,0.076,3,1718495105082,305441804,230
1.0,,,1.0,sell,66215.92,BTC-30AUG24-70000-C,52.62,0.08167474,0.0815,3,1718495101535,305441800,257
0.1,,,0.1,buy,66224.76,BTC-26JUL24-62000-P,48.22,0.03105225,0.031,2,1718494895038,305441710,458
0.1,,,0.1,sell,66225.92,BTC-18JUN24-66000-P,34.32,0.00918127,0.009,2,1718494837349,305441673,12
0.3,,,0.3,buy,66234.23,BTC-30AUG24-77000-C,53.49,0.04926233,0.0495,1,1718494803377,305441649,76
0.6,,,0.6,sell,66238.21,BTC-28JUN24-50000-P,67.52,0.0004927,0.0004,2,1718494802346,305441648,1825
0.1,,,0.1,buy,66247.6,BTC-18JUN24-67000-C,35.85,0.0071009,0.007,1,1718494680072,305441567,47
