amount,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,0.1,buy,58238.75,BTC-7JUL24-57500-P,38.46,,0.00087232,0.0008,0,1720310398916,307843356,119
0.2,,,0.2,buy,58238.75,BTC-7JUL24-59000-C,33.92,,0.00056848,0.0005,2,1720310398714,307843355,152
4.0,,,4.0,sell,58237.89,BTC-9JUL24-50000-P,86.05,,0.00038019,0.0003,3,1720310398254,307843354,16
1.0,,,1.0,sell,58281.89,BTC-19JUL24-70000-C,50.95,,0.00118943,0.001,0,1720310352752,307843306,305
1.2,,,1.2,buy,58281.44,BTC-19JUL24-72000-C,53.11,,0.00076599,0.0006,1,1720310345542,307843302,234
0.6,,,0.6,sell,58285.13,BTC-26JUL24-65000-C,45.86,,0.00916104,0.009,1,1720310345097,307843297,2080
1.1,,,1.1,sell,58296.92,BTC-19JUL24-74000-C,57.39,,0.00055581,0.0005,0,1720310341464,307843294,134
0.3,,,0.3,sell,58310.32,BTC-19JUL24-82000-C,65.51,,0.00027412,0.0001,2,1720310333266,307843254,27
2.7,,,2.7,sell,58305.74,BTC-19JUL24-46000-P,72.89,,0.00196431,0.0018,2,1720310327114,307843238,54
17.0,,,17.0,sell,58306.04,BTC-19JUL24-48000-P,65.5,,0.00259434,0.0024,3,1720310320332,307843220,184
1.0,,,1.0,sell,58304.9,BTC-30AUG24-51000-P,48.29,,0.02211787,0.0215,3,1720310316720,307843215,38
11.0,,,11.0,sell,58301.61,BTC-19JUL24-50000-P,59.47,,0.00373015,0.0036,2,1720310315841,307843210,235
0.1,,,0.1,sell,58297.09,BTC-30AUG24-59000-P,47.33,,0.07283704,0.073,2,1720310311109,307843207,250
2.0,,,2.0,sell,58276.85,BTC-9JUL24-63000-C,49.97,,0.00051571,0.0004,2,1720310276118,307843151,6
2.0,,,2.0,sell,58278.13,BTC-8JUL24-52000-P,76.65,T,0.00023052,0.0001,2,1720310264425,307843144,35
0.1,,,0.1,buy,58277.04,BTC-19JUL24-63000-C,46.71,,0.00883882,0.009,0,1720310259322,307843139,598
0.1,,,0.1,sell,58268.06,BTC-26JUL24-66000-C,46.3,,0.00696625,0.007,0,1720310246571,307843122,1555
0.1,,,0.1,sell,58267.51,BTC-7JUL24-60000-C,46.68,,0.0001214,0.0001,2,1720310235248,307843121,85
0.1,,,0.1,sell,58260.64,BTC-7JUL24-56500-P,65.07,,0.00033909,0.0005,0,1720310225842,307843116,209
17.0,,,17.0,sell,58243.16,BTC-12JUL24-51000-P,71.48,,0.00234371,0.0022,2,1720310197455,307843104,84
17.0,,,17.0,sell,58241.7,BTC-12JUL24-50000-P,76.62,,0.00193883,0.0018,3,1720310192149,307843102,335
0.1,,,0.1,sell,58239.81,BTC-7JUL24-59500-C,43.7,,0.000278,0.0003,3,1720310144737,307843067,80
0.2,,,0.2,buy,58228.77,BTC-19JUL24-62000-C,46.37,,0.01184905,0.012,1,1720310095093,307843044,555
10.0,,,10.0,sell,58222.18,BTC-12JUL24-46000-P,97.52,,0.001023,0.0009,3,1720310092649,307843031,170
2.0,,,2.0,sell,58222.18,BTC-12JUL24-48000-P,87.53,,0.00148163,0.0013,2,1720310088389,307843028,328
4.0,,,4.0,sell,58211.18,BTC-12JUL24-58000-C,48.45,,0.02558637,0.025,3,1720310033948,307843011,588
0.1,,,0.1,sell,58224.21,BTC-7JUL24-58000-C,31.28,,0.0062773,0.006,2,1720309988957,307842974,257
0.1,,,0.1,buy,58158.72,BTC-27SEP24-59000-C,51.0,,0.09756719,0.0985,0,1720309919442,307842919,219
0.4,,,0.4,buy,58162.07,BTC-26JUL24-59000-C,46.5,,0.03691206,0.037,2,1720309890118,307842888,404
0.1,,,0.1,buy,58159.17,BTC-12JUL24-60000-C,48.17,,0.01125105,0.011,2,1720309870983,307842873,1197
0.1,,,0.1,sell,58155.91,BTC-7JUL24-56000-P,64.37,,0.00025105,0.0002,3,1720309841968,307842855,319
1.0,,,1.0,sell,58162.45,BTC-7JUL24-54500-P,92.37,,0.00018628,0.0001,3,1720309710156,307842793,212
5.5,,,5.5,sell,58168.73,BTC-27SEP24-60000-C,50.96,,0.0903697,0.091,3,1720309605375,307842732,1101
0.1,,,0.1,buy,58169.03,BTC-9JUL24-59000-C,42.03,,0.00763892,0.0075,3,1720309593348,307842730,49
1.0,,,1.0,buy,58170.56,BTC-7JUL24-54000-P,103.9,,8.048e-05,0.0001,3,1720309559561,307842700,178
10.0,,,10.0,buy,58175.4,BTC-9JUL24-60000-C,43.43,,0.00341056,0.0036,0,1720309460610,307842621,41
0.2,,,0.2,sell,58192.24,BTC-9JUL24-57500-P,44.32,,0.00910016,0.009,0,1720309381941,307842525,10
0.2,,,0.2,sell,58168.63,BTC-30AUG24-70000-C,48.16,,0.01943399,0.019,2,1720309345348,307842466,995
0.2,,,0.2,buy,58224.09,BTC-9JUL24-58500-C,42.93,,0.01143574,0.0115,2,1720309232506,307842260,32
6.0,,,6.0,sell,58265.75,BTC-28MAR25-80000-C,63.94,,0.12825584,0.1285,3,1720309200848,307842210,1603
0.6,,,0.6,buy,58231.27,BTC-26JUL24-61000-C,45.9,,0.02422812,0.024,2,1720309117081,307842151,1168
1.0,,,1.0,buy,58228.54,BTC-27JUN25-75000-C,63.85,,0.18853327,0.1905,3,1720309080982,307842114,125
0.1,,,0.1,sell,58232.5,BTC-30AUG24-63000-C,47.67,,0.04596258,0.046,0,1720309063235,307842103,783
0.1,,,0.1,buy,58283.61,BTC-19JUL24-53000-P,54.16,,0.00790037,0.0085,0,1720308956028,307841996,113
0.1,,,0.1,sell,58311.1,BTC-30AUG24-61000-C,47.6,,0.05839437,0.0585,0,1720308928254,307841948,328
0.1,,,0.1,buy,58326.22,BTC-9JUL24-56000-P,50.47,,0.00337625,0.0033,1,1720308915636,307841923,106
0.3,,,0.3,buy,58344.79,BTC-7JUL24-53500-P,117.27,,2.413e-05,0.0001,3,1720308864697,307841852,62
1.7,,,1.7,sell,58404.53,BTC-12JUL24-61000-C,48.69,,0.00798484,0.008,1,1720308848829,307841762,1449
1.0,,,1.0,buy,58368.46,BTC-12JUL24-57000-P,52.0,,0.01478962,0.015,0,1720308765247,307841642,680
0.1,,,0.1,buy,58368.83,BTC-12JUL24-56000-P,54.43,,0.01021649,0.0105,0,1720308765075,307841641,1052
0.1,,,0.1,sell,58374.49,BTC-30AUG24-67000-C,48.06,,0.02904027,0.029,1,1720308760112,307841626,498
0.5,,,0.5,buy,58429.88,BTC-7JUL24-58000-P,33.85,,0.0016506,0.0015,3,1720308710011,307841467,74
0.1,,,0.1,sell,58450.68,BTC-12JUL24-53000-P,62.67,,0.00351022,0.0034,2,1720308696026,307841413,155
0.5,,,0.5,sell,58459.57,BTC-12JUL24-62000-C,48.27,,0.00502064,0.0049,0,1720308675547,307841403,1323
0.4,,,0.4,buy,58410.03,BTC-19JUL24-59000-C,46.03,,0.02963525,0.0295,0,1720308639826,307841337,430
0.1,,,0.1,sell,58377.53,BTC-19JUL24-61000-C,46.27,,0.0168588,0.017,0,1720308593146,307841230,857
0.1,,,0.1,sell,58399.25,BTC-30AUG24-65000-C,47.74,,0.03719794,0.037,3,1720308542777,307841188,563
0.4,,,0.4,buy,58414.53,BTC-26JUL24-58000-P,46.71,,0.0387734,0.0385,3,1720308537912,307841180,1536
0.1,,,0.1,sell,58414.78,BTC-30AUG24-69000-C,48.5,,0.02294806,0.023,0,1720308526701,307841162,554
0.2,,,0.2,sell,58417.79,BTC-30AUG24-59000-C,47.74,,0.07368324,0.074,1,1720308474021,307841076,164
0.2,,,0.2,buy,58425.26,BTC-26JUL24-57000-C,47.21,,0.05724908,0.057,1,1720308450090,307841059,214
0.1,,,0.1,buy,58449.94,BTC-26JUL24-62000-C,45.77,,0.02044861,0.02,0,1720308436629,307840998,1120
0.3,,,0.3,buy,58448.53,BTC-8JUL24-60000-C,35.61,,0.00116985,0.0012,0,1720308428728,307840985,70
0.2,,,0.2,sell,58448.53,BTC-30AUG24-57000-P,47.64,,0.05532527,0.0555,3,1720308428721,307840984,335
4.5,,,4.5,sell,58440.79,BTC-12JUL24-54000-P,59.95,,0.00525675,0.005,3,1720308420362,307840938,930
0.1,,,0.1,sell,58423.22,BTC-26JUL24-64000-C,45.6,,0.01250659,0.012,1,1720308402609,307840829,1454
1.0,,,1.0,sell,58407.08,BTC-27SEP24-60000-P,50.82,,0.10035898,0.1005,2,1720308320046,307840704,1194
5.0,,,5.0,sell,58401.47,BTC-19JUL24-54000-P,49.93,,0.00992168,0.0095,3,1720308312904,307840663,441
0.1,,,0.1,buy,58438.56,BTC-7JUL24-58500-C,35.28,,0.00337759,0.0039,0,1720308274852,307840558,149
0.1,,,0.1,buy,58432.39,BTC-27DEC24-75000-C,60.59,,0.09035242,0.092,1,1720308238143,307840531,1816
0.1,,,0.1,buy,58433.84,BTC-30AUG24-64000-C,47.74,,0.04213148,0.042,0,1720308215752,307840511,867
0.1,,,0.1,sell,58448.83,BTC-7JUL24-58500-P,36.24,,0.00434732,0.005,2,1720308208106,307840491,18
0.1,,,0.1,buy,58434.98,BTC-27DEC24-80000-C,60.56,,0.07393531,0.074,0,1720308184334,307840449,1816
0.5,,,0.5,buy,58353.98,BTC-12JUL24-60000-P,46.77,,0.04080871,0.04,0,1720308144091,307840317,1192
5.0,,,5.0,sell,58361.53,BTC-19JUL24-60000-C,46.17,,0.02251853,0.0225,2,1720308140009,307840308,468
0.1,,,0.1,buy,58420.93,BTC-8JUL24-57000-P,41.47,,0.0022559,0.0022,0,1720308124695,307840229,51
0.1,,,0.1,sell,58440.74,BTC-8JUL24-58500-P,34.82,,0.00881643,0.009,2,1720308103132,307840176,3
1.0,,,1.0,buy,58432.65,BTC-26JUL24-61000-P,45.47,,0.06787672,0.067,2,1720308090851,307840159,1016
8.3,,,8.3,sell,58446.87,BTC-26JUL24-55000-P,49.11,,0.02005782,0.02,2,1720308083623,307840104,1335
1.0,,,1.0,buy,58425.12,BTC-30AUG24-76000-C,50.22,,0.01001425,0.01,0,1720308068965,307840035,588
1.0,,,1.0,buy,58429.41,BTC-26JUL24-62000-P,45.44,,0.07985377,0.079,2,1720308067243,307840030,1032
1.0,,,1.0,buy,58445.27,BTC-9JUL24-56500-P,48.06,,0.00407183,0.004,3,1720308061406,307839994,20
0.3,,,0.3,buy,58433.52,BTC-27JUN25-120000-C,66.85,,0.0789827,0.08,1,1720308011206,307839724,78
0.1,,,0.1,sell,58432.05,BTC-8JUL24-53500-P,72.7,,0.00039453,0.0004,3,1720308010210,307839654,39
0.1,,,0.1,buy,58432.05,BTC-12JUL24-59000-C,49.59,,0.01837373,0.019,0,1720308010140,307839653,1058
