amount,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,0.1,sell,59224.69,BTC-2AUG24-64000-C,49.92,0.0191938,0.0195,0,1720915198794,308650256,121
0.3,0.3,sell,59224.69,BTC-2AUG24-57000-P,49.08,0.0253481,0.0255,0,1720915198201,308650255,96
0.1,0.1,buy,59229.2,BTC-15JUL24-61000-C,55.69,0.00377383,0.0037,0,1720915197588,308650254,78
0.9,0.9,buy,59233.49,BTC-26JUL24-63000-C,51.72,0.01605864,0.0165,0,1720915196274,308650251,1969
0.9,0.9,buy,59231.25,BTC-2AUG24-66000-C,50.75,0.01246154,0.013,1,1720915195924,308650231,212
13.3,13.3,sell,59231.25,BTC-2AUG24-62000-C,50.57,0.02875966,0.03,1,1720915195878,308650230,192
0.1,0.1,sell,59228.54,BTC-2AUG24-56000-P,49.24,0.02010066,0.02,1,1720915194620,308650228,84
0.1,0.1,sell,59227.64,BTC-2AUG24-68000-C,50.55,0.00809858,0.008,0,1720915192365,308650225,76
0.7,0.7,buy,59226.53,BTC-19JUL24-56000-P,57.17,0.00748871,0.0075,0,1720915191325,308650206,1077
0.1,0.1,buy,59222.29,BTC-2AUG24-53000-P,51.57,0.00951846,0.0095,3,1720915188658,308650183,122
0.1,0.1,buy,59222.29,BTC-19JUL24-72000-C,68.45,0.00031906,0.0003,0,1720915188016,308650181,287
0.3,0.3,buy,59220.22,BTC-26JUL24-61000-C,50.96,0.02607964,0.0265,1,1720915187740,308650180,1633
18.8,18.8,sell,59220.22,BTC-2AUG24-63000-C,50.52,0.02341853,0.0245,1,1720915187498,308650178,337
0.1,0.1,sell,59219.09,BTC-19JUL24-61000-C,54.52,0.01514363,0.015,3,1720915185012,308650173,1259
0.3,0.3,sell,59220.78,BTC-15JUL24-60500-C,52.87,0.00535266,0.005,3,1720915182623,308650170,130
3.2,3.2,sell,59220.15,BTC-2AUG24-61000-C,49.84,0.03452199,0.0355,1,1720915172045,308650153,117
0.2,0.2,buy,59210.45,BTC-14JUL24-59000-P,48.64,0.00412776,0.0042,0,1720915162399,308650136,62
4.0,4.0,sell,59214.0,BTC-26JUL24-62000-C,50.68,0.02055699,0.0205,1,1720915159615,308650135,1602
0.3,0.3,buy,59220.2,BTC-16JUL24-58000-P,54.44,0.00831769,0.0085,1,1720915152920,308650125,87
1.0,1.0,sell,59229.53,BTC-14JUL24-58000-P,51.26,0.00084059,0.0006,0,1720915085053,308650057,304
0.5,0.5,buy,59266.81,BTC-26JUL24-56000-P,51.93,0.01448344,0.0145,1,1720915070150,308650031,1326
0.1,0.1,buy,59262.75,BTC-26JUL24-74000-C,58.86,0.00093291,0.001,1,1720915067075,308650029,1231
0.2,0.2,buy,59232.05,BTC-14JUL24-62000-C,80.58,0.00022379,0.0003,0,1720915051343,308650003,40
0.1,0.1,sell,59214.0,BTC-19JUL24-50000-P,75.71,0.00112902,0.001,2,1720915041913,308649996,652
0.4,0.4,buy,59196.28,BTC-15JUL24-55000-P,70.76,0.00069988,0.0007,1,1720915039822,308649988,36
0.3,0.3,buy,59220.49,BTC-14JUL24-55000-P,104.52,9.07e-06,0.0001,3,1720915004037,308649952,80
4.9,4.9,sell,59221.03,BTC-14JUL24-51000-P,195.01,0.0,0.0001,3,1720915001548,308649951,44
0.5,0.5,sell,59220.92,BTC-26JUL24-60000-C,50.31,0.03289506,0.033,1,1720915000600,308649949,1685
0.3,0.3,buy,59220.16,BTC-14JUL24-54000-P,126.99,5.1e-07,0.0001,3,1720914993908,308649945,136
1.1,1.1,buy,59225.59,BTC-27SEP24-60000-C,50.66,0.09519094,0.095,1,1720914967870,308649888,1242
1.5,1.5,sell,59221.22,BTC-14JUL24-52000-P,172.01,0.0,0.0001,3,1720914965174,308649884,97
0.2,0.2,buy,59223.46,BTC-15JUL24-59000-C,52.8,0.01451481,0.015,1,1720914940412,308649857,265
1.0,1.0,buy,59207.45,BTC-15JUL24-67000-C,80.92,2.156e-05,0.0001,1,1720914929205,308649845,2
0.3,0.3,buy,59203.48,BTC-26JUL24-59000-C,50.39,0.04096829,0.041,1,1720914925397,308649843,775
0.6,0.6,buy,59171.49,BTC-15JUL24-55500-P,64.99,0.00094403,0.0008,0,1720914903949,308649782,41
0.1,0.1,buy,59173.02,BTC-26JUL24-57000-P,50.8,0.01968777,0.0195,1,1720914894552,308649777,1789
0.1,0.1,sell,59177.02,BTC-30AUG24-69000-C,48.07,0.02269184,0.022,2,1720914868658,308649758,671
0.1,0.1,buy,59182.88,BTC-16JUL24-61500-C,55.3,0.00505636,0.005,3,1720914866401,308649756,17
10.0,10.0,sell,59180.92,BTC-15JUL24-54500-P,73.07,0.00060111,0.0005,0,1720914847887,308649715,16
0.3,0.3,sell,59159.58,BTC-19JUL24-62000-C,54.62,0.01008984,0.01,3,1720914786849,308649641,1195
0.1,0.1,sell,59171.91,BTC-14JUL24-60000-C,50.89,0.00196964,0.0016,2,1720914769038,308649619,191
0.5,0.5,sell,59156.66,BTC-16JUL24-62000-C,55.81,0.00367536,0.0036,3,1720914738291,308649575,25
0.1,0.1,buy,59178.0,BTC-19JUL24-54000-P,61.43,0.00361406,0.0035,0,1720914684939,308649533,896
0.2,0.2,sell,59188.03,BTC-19JUL24-60000-C,54.39,0.02090342,0.021,3,1720914653955,308649492,1319
0.3,0.3,buy,59253.93,BTC-15JUL24-57500-P,53.11,0.00301393,0.0029,0,1720914591945,308649433,196
1.0,1.0,sell,59237.55,BTC-15JUL24-64000-C,67.53,0.00046124,0.0005,1,1720914570506,308649394,8
1.0,1.0,sell,59250.61,BTC-26JUL24-65000-C,51.66,0.00954947,0.0095,3,1720914510110,308649265,2631
0.1,0.1,buy,59290.38,BTC-14JUL24-56000-P,82.59,8.978e-05,0.0001,3,1720914416047,308649160,85
0.1,0.1,sell,59290.89,BTC-15JUL24-59000-P,47.74,0.00950362,0.009,0,1720914399324,308649149,16
0.1,0.1,buy,59286.25,BTC-30AUG24-71000-C,48.77,0.01757639,0.0175,0,1720914382285,308649080,882
0.5,0.5,buy,59270.46,BTC-15JUL24-57000-P,55.97,0.00206094,0.002,0,1720914338554,308648948,58
2.0,2.0,buy,59288.38,BTC-28MAR25-50000-P,60.31,0.09184103,0.09,2,1720914301699,308648906,342
0.3,0.3,sell,59283.95,BTC-2AUG24-58000-P,48.17,0.03107174,0.031,0,1720914272280,308648810,196
0.1,0.1,sell,59286.55,BTC-16JUL24-52000-P,84.19,0.00073518,0.0006,0,1720914265458,308648765,73
0.7,0.7,sell,59287.08,BTC-2AUG24-61000-P,47.95,0.05664899,0.0565,0,1720914257309,308648751,5
1.0,1.0,buy,59296.55,BTC-26JUL24-64000-C,51.1,0.01243445,0.0125,3,1720914243262,308648692,1898
1.0,1.0,sell,59296.55,BTC-26JUL24-66000-C,52.44,0.00739925,0.0075,1,1720914242990,308648664,1903
1.0,1.0,buy,59301.28,BTC-16JUL24-61000-C,55.73,0.00693116,0.0075,3,1720914233845,308648654,72
0.1,0.1,buy,59301.14,BTC-26JUL24-79000-C,62.39,0.00021543,0.0003,1,1720914226607,308648651,610
0.1,0.1,buy,59301.14,BTC-14JUL24-57500-C,64.29,0.0309966,0.031,0,1720914226293,308648647,104
0.1,0.1,buy,59318.26,BTC-26JUL24-48000-P,70.55,0.00228386,0.0023,2,1720914211208,308648634,923
0.9,0.9,sell,59327.8,BTC-27SEP24-50000-P,50.06,0.02365838,0.023,3,1720914202216,308648627,1133
0.7,0.7,buy,59362.37,BTC-16JUL24-59500-P,54.26,0.01746067,0.018,1,1720914160103,308648534,3
3.0,3.0,buy,59377.02,BTC-27DEC24-50000-P,57.2,0.06191956,0.061,3,1720914155368,308648512,679
0.1,0.1,buy,59368.13,BTC-26JUL24-82000-C,66.2,0.00018671,0.0002,0,1720914134485,308648406,891
0.6,0.6,buy,59349.83,BTC-14JUL24-59500-C,50.12,0.00487503,0.005,1,1720914107796,308648316,88
0.4,0.4,buy,59331.35,BTC-16JUL24-60000-C,53.41,0.01218581,0.0125,0,1720914100698,308648277,130
0.5,0.5,sell,59306.84,BTC-26JUL24-58000-C,49.29,0.05118912,0.0505,1,1720914090155,308648209,1071
0.4,0.4,sell,59312.65,BTC-15JUL24-59500-C,52.56,0.01094396,0.0115,3,1720914055495,308648164,210
0.5,0.5,sell,59294.08,BTC-16JUL24-59500-C,53.75,0.01554036,0.016,3,1720914037391,308648145,117
0.1,0.1,sell,59305.27,BTC-30AUG24-46000-P,50.66,0.00549933,0.005,2,1720914016853,308648126,309
0.2,0.2,sell,59272.34,BTC-14JUL24-61500-C,66.36,0.00030414,0.0003,3,1720913940170,308648045,26
5.0,5.0,sell,59288.41,BTC-15JUL24-60000-C,50.76,0.00761649,0.0075,0,1720913936036,308648026,148
0.1,0.1,sell,59272.76,BTC-14JUL24-57000-P,65.77,0.00061175,0.0002,2,1720913919665,308648004,152
0.1,0.1,buy,59277.83,BTC-15JUL24-62000-C,57.33,0.00167142,0.0017,0,1720913911863,308647988,40
0.2,0.2,sell,59249.32,BTC-27SEP24-51000-P,50.92,0.02788059,0.0285,1,1720913873939,308647872,381
0.1,0.1,sell,59250.66,BTC-2AUG24-54000-P,49.53,0.01191423,0.0115,1,1720913861318,308647858,75
0.1,0.1,sell,59285.76,BTC-15JUL24-56500-C,60.44,0.04895292,0.049,0,1720913849420,308647810,5
0.1,0.1,sell,59285.76,BTC-26JUL24-54000-P,54.95,0.00830514,0.0085,1,1720913848906,308647731,1281
0.1,0.1,buy,59285.8,BTC-26JUL24-58000-P,49.87,0.02459947,0.0245,1,1720913843204,308647695,1850
0.1,0.1,sell,59321.08,BTC-19JUL24-63000-C,54.19,0.00680971,0.007,3,1720913782978,308647575,1378
0.1,0.1,buy,59346.33,BTC-16JUL24-60500-C,53.04,0.00927466,0.0095,0,1720913769306,308647507,19
0.5,0.5,sell,59369.97,BTC-14JUL24-57000-C,92.46,0.04060205,0.041,0,1720913739170,308647229,17
0.1,0.1,buy,59365.78,BTC-14JUL24-64000-C,102.38,1.51e-06,0.0001,3,1720913725580,308647183,6
2.0,2.0,sell,59342.95,BTC-15JUL24-63000-C,59.59,0.00082205,0.0008,1,1720913707765,308647147,6
0.1,0.1,sell,59340.4,BTC-26JUL24-67000-C,50.8,0.00516939,0.005,1,1720913703021,308647139,1519
0.1,0.1,sell,59340.65,BTC-26JUL24-70000-C,53.06,0.00231363,0.0022,1,1720913699427,308647126,2681
0.3,0.3,buy,59327.26,BTC-26JUL24-50000-P,63.86,0.00310382,0.0032,1,1720913667516,308647054,2162
