amount,block_trade_id,block_trade_leg_count,combo_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,0.1,buy,65785.67,BTC-18OCT24-82000-C,52.85,0.00240993,0.0023,3,1727481576775,319101154,22
0.1,,,,0.1,buy,65788.44,BTC-28SEP24-65000-P,28.22,0.0003512,0.0003,2,1727481528308,319101153,236
1.0,,,,1.0,sell,65779.44,BTC-25OCT24-58000-P,49.8,0.01201301,0.0115,2,1727481220811,319101038,946
0.2,,,,0.2,sell,65747.79,BTC-30SEP24-63500-P,34.36,0.00139542,0.0013,3,1727481096682,319100978,17
0.7,,,,0.7,sell,65748.52,BTC-18OCT24-63000-P,45.93,0.02409735,0.0235,0,1727481086553,319100973,194
0.9,,,,0.9,buy,65745.31,BTC-30SEP24-66000-C,30.31,0.00791716,0.008,1,1727481023648,319100964,48
0.8,,,,0.8,sell,65752.35,BTC-4OCT24-62000-P,44.78,0.0045431,0.0047,0,1727481015204,319100962,402
0.1,,,,0.1,sell,65744.99,BTC-4OCT24-56000-C,67.49,0.14957075,0.15,0,1727480970062,319100947,40
0.3,,,,0.3,buy,65737.65,BTC-28SEP24-66500-C,30.58,0.00042199,0.0005,2,1727480844318,319100874,213
9.0,,,,9.0,buy,65722.76,BTC-26SEP25-160000-C,66.1,0.05002241,0.051,0,1727480811951,319100855,10
0.7,,,,0.7,sell,65705.65,BTC-26SEP25-40000-P,62.78,0.04363874,0.0435,3,1727480622062,319100798,6
0.5,,,,0.5,sell,65701.92,BTC-28SEP24-66000-P,16.19,0.00577698,0.005,0,1727480595271,319100794,86
0.7,,,,0.7,buy,65709.07,BTC-29SEP24-65500-P,22.75,0.00391694,0.004,0,1727480572593,319100785,128
0.1,,,,0.1,buy,65731.16,BTC-11OCT24-65000-P,44.36,0.02774612,0.0275,2,1727480467961,319100739,41
0.7,,,,0.7,sell,65731.16,BTC-18OCT24-72000-C,48.22,0.01506597,0.015,3,1727480467905,319100735,158
0.1,,,,0.1,buy,65750.03,BTC-29SEP24-67000-C,28.11,0.00108433,0.0012,3,1727480321967,319100680,231
0.8,,,,0.8,sell,65768.86,BTC-18OCT24-78000-C,50.97,0.00514694,0.0049,3,1727480262890,319100639,22
0.5,,,,0.5,buy,65769.18,BTC-30SEP24-65500-C,30.3,0.01189888,0.012,2,1727480257887,319100638,5
0.1,,,,0.1,sell,65774.2,BTC-28SEP24-64000-P,43.04,0.00017155,0.0001,2,1727480088714,319100572,203
0.1,,,,0.1,sell,65767.24,BTC-25OCT24-80000-C,50.98,0.00652846,0.006,2,1727479983655,319100528,668
1.2,,,,1.2,sell,65747.89,BTC-29SEP24-66000-C,21.92,0.0040535,0.0037,2,1727479821394,319100488,126
0.1,,,,0.1,sell,65747.93,BTC-18OCT24-62000-P,46.55,0.01949356,0.019,0,1727479814896,319100486,59
1.0,,,,1.0,sell,65756.07,BTC-29SEP24-65000-P,24.36,0.001759,0.0018,2,1727479765518,319100471,126
0.1,,,,0.1,sell,65741.57,BTC-18OCT24-64000-P,46.07,0.02984885,0.0295,0,1727479684019,319100431,90
0.1,,,,0.1,sell,65753.23,BTC-11OCT24-72000-C,45.92,0.00810019,0.0075,2,1727479542298,319100362,316
0.8,,,,0.8,sell,65761.41,BTC-4OCT24-64000-P,41.39,0.01061535,0.0105,0,1727479437480,319100307,505
4.7,,,,4.7,sell,65768.74,BTC-29SEP24-66000-P,21.03,0.0076322,0.007,0,1727479339969,319100304,48
0.3,,,,0.3,buy,65782.26,BTC-30SEP24-60000-P,55.45,0.00024275,0.0003,3,1727479292677,319100292,9
0.1,,,,0.1,buy,65779.93,BTC-25OCT24-63000-C,47.67,0.07782716,0.0775,2,1727479282612,319100288,982
0.3,,,,0.3,sell,65819.26,BTC-29SEP24-68000-C,33.32,0.00044371,0.0005,2,1727479085043,319100065,91
1.1,,,,1.1,buy,65819.26,BTC-27DEC24-75000-C,57.58,0.0705426,0.0705,2,1727479084800,319100058,3982
0.1,,,,0.1,sell,65835.33,BTC-29SEP24-64000-P,30.34,0.00064507,0.0005,3,1727479062007,319100022,75
0.1,,,,0.1,sell,65836.6,BTC-29NOV24-49000-P,60.88,0.01161168,0.0115,2,1727479038179,319100011,61
0.1,,,,0.1,sell,65836.89,BTC-25OCT24-78000-C,50.45,0.00893334,0.0085,3,1727479033820,319100006,378
12.0,,,,12.0,buy,65846.66,BTC-27DEC24-105000-C,63.14,0.01337911,0.0135,0,1727478937494,319099969,967
