amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
1.0,,,,,1.0,sell,70210.35,BTC-1NOV24-72000-C,49.57,,0.00029439,0.0003,3,1730419195850,323101073,1896
0.8,,,,,0.8,sell,70210.28,BTC-29NOV24-67000-P,57.0,,0.03793415,0.038,0,1730419186011,323101070,393
0.1,,,,,0.1,buy,70210.7,BTC-1NOV24-70500-C,37.23,,0.00277324,0.0028,2,1730419181520,323101069,249
0.2,,,,,0.2,buy,70212.5,BTC-1NOV24-70500-P,35.2,,0.00669574,0.0065,1,1730419160858,323101064,435
1.0,,,,,1.0,sell,70229.7,BTC-1NOV24-68000-C,0.0,,0.03225614,0.032,2,1730419119752,323101059,1711
0.3,,,,,0.3,buy,70241.06,BTC-27DEC24-60000-P,54.4,,0.02261319,0.0225,0,1730419113672,323101036,2537
0.4,,,,,0.4,buy,70245.4,BTC-1NOV24-72500-P,55.99,,0.03188415,0.032,0,1730419113000,323101030,182
0.1,,,,,0.1,sell,70243.3,BTC-1NOV24-70000-P,39.41,,0.00309239,0.0031,0,1730419108343,323100932,1215
0.1,,,,,0.1,sell,70240.11,BTC-8NOV24-76000-C,68.59,,0.01260785,0.0125,2,1730419101633,323100926,549
0.1,,,,,0.1,buy,70238.89,BTC-2NOV24-68500-P,47.08,,0.00291481,0.0028,2,1730419084010,323100925,63
0.3,,,,,0.3,buy,70240.27,BTC-1NOV24-71500-P,40.11,,0.01806863,0.018,0,1730419058609,323100922,433
0.1,,,,,0.1,buy,70238.75,BTC-27DEC24-72000-P,54.31,,0.08855299,0.0885,2,1730419045961,323100902,11
0.1,,,,,0.1,buy,70238.75,BTC-8NOV24-70000-C,68.17,,0.04160959,0.0415,2,1730419045871,323100900,3384
0.3,,,,,0.3,buy,70237.32,BTC-1NOV24-69000-P,49.1,,0.00071542,0.0008,0,1730419041484,323100888,782
25.0,BLOCK-164719,2,BTC-PDIAG-27DEC24_29NOV24-55000_60000,,25.0,buy,70246.94,BTC-29NOV24-60000-P,58.91,,0.01234821,0.0121,2,1730419025767,323100878,1238
