amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,,0.1,sell,95764.17,BTC-13FEB25-88000-P,64.54,0.00030299,0.0002,2,1739318136761,347412257,66
0.1,,,,,0.1,sell,95752.1,BTC-28FEB25-86000-P,52.7,0.00910169,0.009,2,1739318120516,347412256,908
0.1,,,,,0.1,buy,95785.27,BTC-28FEB25-85000-P,53.27,0.00759402,0.0075,2,1739318076287,347412223,1796
0.1,,,,,0.1,sell,95783.95,BTC-28FEB25-80000-P,60.06,0.00379336,0.0039,0,1739318075939,347412222,3297
2.2,,,,,2.2,buy,95807.38,BTC-28MAR25-130000-P,58.31,0.35158665,0.351,1,1739318022420,347412203,168
5.4,,,,,5.4,buy,95808.16,BTC-28MAR25-70000-C,63.06,0.28271637,0.2825,1,1739317907611,347412195,1757
0.1,,,,,0.1,buy,95802.43,BTC-12FEB25-95000-P,43.51,0.0018056,0.0021,0,1739317835250,347412170,295
4.5,,,,,4.5,sell,95804.6,BTC-13FEB25-95000-P,47.09,0.0077711,0.0075,3,1739317745328,347412154,147
1.7,,,,,1.7,sell,95807.72,BTC-28FEB25-95000-P,48.13,0.03546047,0.035,3,1739317742965,347412152,979
1.0,,,,,1.0,buy,95827.1,BTC-28MAR25-120000-P,55.98,0.2551655,0.2545,0,1739317713984,347412138,263
0.5,,,,,0.5,buy,95760.66,BTC-21FEB25-85000-P,57.34,0.0036918,0.0038,0,1739317550097,347411973,468
0.1,,,,,0.1,sell,95741.49,BTC-14FEB25-96000-C,47.35,0.01400351,0.014,3,1739317485630,347411892,190
1.9,,,,,1.9,buy,95842.74,BTC-28FEB25-93000-P,48.96,0.02637809,0.0265,3,1739317392022,347411725,41
0.5,,,,,0.5,buy,95872.57,BTC-21FEB25-90000-P,50.72,0.00935618,0.0095,3,1739317389619,347411714,712
0.1,,,,,0.1,sell,95872.57,BTC-21FEB25-91000-P,49.57,0.01149514,0.0115,1,1739317389415,347411711,202
0.1,,,,,0.1,sell,95903.32,BTC-13FEB25-92000-P,52.54,0.00150621,0.0014,2,1739317276724,347411640,43
