amount,block_rfq_id,block_trade_id,block_trade_leg_count,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.3,,,,0.3,buy,94665.01,BTC-27APR25-96500-C,40.14,,0.00019313,0.0003,0,1745711978808,363530745,41
0.1,,,,0.1,sell,94669.21,BTC-27APR25-95000-C,23.92,,0.0014203,0.0015,0,1745711811138,363530731,525
0.1,,,,0.1,buy,94657.73,BTC-16MAY25-135000-C,65.58,,0.00063714,0.0006,2,1745711739748,363530722,5
1.2,,,,1.2,sell,94655.16,BTC-29APR25-97000-C,37.73,,0.0038105,0.0037,2,1745711705175,363530721,63
2.2,,,,2.2,sell,94655.16,BTC-29APR25-98000-C,40.19,,0.00241349,0.0024,1,1745711704831,363530720,42
0.1,,,,0.1,sell,94616.07,BTC-27JUN25-70000-P,53.56,,0.0065213,0.0065,3,1745711580243,363530592,4552
0.5,,,,0.5,sell,94648.41,BTC-28APR25-90000-P,41.45,,0.00029617,0.0002,2,1745711352969,363530459,45
0.1,,,,0.1,buy,94643.25,BTC-29APR25-99000-C,42.86,,0.0014945,0.0016,1,1745711346783,363530458,33
0.1,,,,0.1,sell,94670.95,BTC-26SEP25-210000-C,63.53,,0.00747041,0.007,1,1745711203990,363530391,360
1.0,,,,1.0,sell,94681.83,BTC-28APR25-102000-C,56.83,,0.00027301,0.0002,1,1745711177911,363530379,47
0.1,,,,0.1,buy,94670.54,BTC-30MAY25-130000-C,57.73,,0.00301111,0.003,0,1745711170927,363530378,752
0.2,,,,0.2,buy,94665.56,BTC-29APR25-92000-P,35.22,,0.0022174,0.0022,1,1745711069475,363530316,46
1.0,,,,1.0,buy,94655.31,BTC-27APR25-94500-P,21.72,,0.00162296,0.0019,0,1745711003981,363530268,99
0.1,,,,0.1,buy,94637.31,BTC-9MAY25-95000-C,44.11,,0.03092435,0.0315,0,1745710862678,363530252,761
0.1,,,,0.1,sell,94633.94,BTC-2MAY25-100000-C,44.0,,0.00455506,0.0044,2,1745710835998,363530247,1798
0.1,,,,0.1,buy,94619.2,BTC-27APR25-94000-P,22.13,,0.00067448,0.0006,3,1745710782304,363530156,446
0.2,,,,0.2,sell,94623.28,BTC-2MAY25-105000-C,52.0,,0.00134588,0.0014,0,1745710752457,363530117,651
0.1,,,,0.1,sell,94627.04,BTC-30MAY25-110000-C,49.33,,0.01383244,0.014,1,1745710748695,363530115,1925
0.1,,,,0.1,sell,94649.7,BTC-26SEP25-90000-C,50.28,,0.16491698,0.165,1,1745710745110,363530093,788
0.1,,,,0.1,sell,94657.55,BTC-25JUL25-96000-C,49.03,,0.09724821,0.0975,2,1745710743691,363530053,29
0.9,,,,0.9,sell,94668.21,BTC-28APR25-91000-P,36.12,,0.00047147,0.0003,2,1745710700983,363529997,61
0.5,,,,0.5,sell,94675.21,BTC-2MAY25-88000-P,44.9,,0.00237646,0.0021,2,1745710647043,363529983,438
0.1,,,,0.1,sell,94668.26,BTC-2MAY25-110000-C,58.82,,0.00056668,0.0005,1,1745710637441,363529982,213
3.0,,,,3.0,sell,94697.34,BTC-26DEC25-105000-C,52.84,,0.14848196,0.148,3,1745710624587,363529926,402
8.4,,,,8.4,sell,94701.76,BTC-27JUN25-130000-C,54.89,,0.01068586,0.0105,1,1745710623199,363529921,2624
0.1,,,,0.1,buy,94729.52,BTC-27JUN25-150000-C,60.69,,0.00434819,0.0044,3,1745710596613,363529871,2532
1.0,,,,1.0,sell,94737.97,BTC-2MAY25-97000-C,40.8,,0.01100282,0.0105,0,1745710582725,363529855,205
0.1,,,,0.1,buy,94731.62,BTC-2MAY25-102000-C,47.55,,0.00276006,0.0029,1,1745710446492,363529757,207
1.0,,,,1.0,sell,94731.86,BTC-2MAY25-99000-C,42.84,,0.00616491,0.006,1,1745710438485,363529751,192
0.3,,,,0.3,buy,94713.47,BTC-2MAY25-96000-C,42.74,,0.01443941,0.015,1,1745710427996,363529729,380
0.1,,,,0.1,sell,94725.53,BTC-27JUN25-65000-P,57.69,,0.00417124,0.0041,2,1745710357794,363529674,2669
0.1,,,,0.1,sell,94745.29,BTC-26SEP25-130000-C,53.96,,0.04514039,0.0455,2,1745710303968,363529591,946
0.1,,,,0.1,buy,94782.8,BTC-9MAY25-96000-C,44.23,,0.02697467,0.0275,0,1745710238505,363529503,457
