amount,block_rfq_id,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
1.0,,,,,,1.0,buy,88273.79,BTC-30JAN26-106000-C,48.73,,0.02574695,0.0255,0,1764028646391,400762299,304
1.0,,,,,,1.0,buy,88276.36,BTC-25NOV25-90000-C,49.42,,0.00051741,0.0007,3,1764028626977,400762279,385
1.4,,,,,,1.4,sell,88260.22,BTC-26JUN26-135000-C,50.68,,0.03764341,0.038,3,1764028619635,400762262,407
2.1,,,,,,2.1,sell,88247.42,BTC-27MAR26-125000-C,50.37,,0.02187933,0.022,2,1764028607218,400762253,1126
0.3,,,,,,0.3,buy,88246.58,BTC-30JAN26-114000-C,49.78,,0.01444116,0.0145,2,1764028591395,400762243,141
1.9,,,,,,1.9,sell,88255.15,BTC-26DEC25-102000-C,48.6,,0.0130132,0.013,3,1764028578611,400762224,1156
0.2,,,,,,0.2,buy,88259.59,BTC-26DEC25-65000-P,68.71,,0.00459835,0.0046,3,1764028575901,400762219,2387
3.5,,,,,,3.5,sell,88260.31,BTC-25NOV25-85000-P,64.56,,0.00028694,0.0002,3,1764028575010,400762217,333
0.1,,,,,,0.1,buy,88250.32,BTC-26JUN26-210000-C,57.76,,0.00735791,0.0075,3,1764028507341,400762209,329
0.1,,,,,,0.1,buy,88240.48,BTC-30JAN26-120000-P,50.97,,0.35670432,0.357,0,1764028434932,400762145,20
0.1,,,,,,0.1,sell,88280.46,BTC-30JAN26-122000-C,51.12,,0.00849592,0.0085,0,1764028384478,400762023,228
0.2,,,,,,0.2,buy,88280.31,BTC-25NOV25-87000-C,44.47,,0.01599979,0.0155,2,1764028368962,400762022,349
0.1,,,,,,0.1,buy,88280.31,BTC-26JUN26-190000-C,55.73,,0.01039538,0.0105,1,1764028368474,400762021,339
0.1,,,,,,0.1,sell,88277.65,BTC-30JAN26-95000-P,49.05,,0.12305391,0.123,1,1764028336240,400762001,494
3.1,,,,,,3.1,buy,88289.41,BTC-28NOV25-75000-P,79.68,,0.00046081,0.0004,3,1764028296879,400761947,588
12.0,,,,,,12.0,sell,88298.68,BTC-28NOV25-78000-P,70.39,,0.00087364,0.0008,2,1764028228346,400761929,363
0.1,,,,,,0.1,buy,88294.61,BTC-26DEC25-90000-C,49.56,,0.0509013,0.051,3,1764028176825,400761881,1973
0.1,,,,,,0.1,buy,88279.94,BTC-28NOV25-120000-C,114.78,,7.71e-05,0.0001,3,1764028153343,400761860,8532
0.1,,,,,,0.1,buy,88281.33,BTC-28NOV25-130000-C,141.08,,3.582e-05,0.0001,3,1764028143931,400761859,3327
0.1,,,,,,0.1,buy,88279.72,BTC-28NOV25-136000-C,155.64,,1.279e-05,0.0001,3,1764028135885,400761858,709
0.1,,,,,,0.1,buy,88279.6,BTC-26JUN26-230000-C,59.48,,0.00544371,0.0055,1,1764028120666,400761853,164
0.5,,,,,,0.5,sell,88279.62,BTC-12DEC25-98000-C,48.81,,0.0106109,0.01,2,1764028110021,400761851,80
50.0,,BLOCK-246167,2,BTC-RR-28NOV25-85000_93000,,50.0,sell,88280.89,BTC-28NOV25-85000-P,53.42,,0.00667836,0.0066,0,1764028108046,400761849,3512
50.0,,BLOCK-246167,2,BTC-RR-28NOV25-85000_93000,,50.0,buy,88280.89,BTC-28NOV25-93000-C,49.55,,0.0033335,0.0034,3,1764028108046,400761850,664
0.4,,,,,,0.4,sell,88280.89,BTC-26NOV25-92000-C,50.52,,0.00134701,0.0013,2,1764028107092,400761848,88
