amount,block_rfq_id,block_trade_id,block_trade_leg_count,combo_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
1.1,,,,,1.1,sell,69283.81,BTC-20FEB26-77000-C,52.33,0.00766025,0.007,3,1770508766975,414258745,373
0.1,,,,,0.1,buy,69285.83,BTC-9FEB26-63000-P,102.44,0.00151354,0.0016,0,1770508732586,414258741,159
0.1,,,,,0.1,buy,69288.66,BTC-9FEB26-56000-P,163.68,0.00038283,0.0005,1,1770508694292,414258731,240
0.1,,,,,0.1,sell,69260.18,BTC-9FEB26-60000-P,128.0,0.00083002,0.0009,2,1770508643981,414258707,213
0.1,,,,,0.1,sell,69303.31,BTC-11FEB26-70000-C,63.47,0.01972797,0.0195,0,1770508463732,414258564,2
1.0,,,,,1.0,sell,69303.17,BTC-27FEB26-85000-P,51.68,0.22835772,0.228,0,1770508452874,414258563,1928
0.1,,,,,0.1,buy,69293.1,BTC-11FEB26-68000-C,68.48,0.03609547,0.036,2,1770508431218,414258555,14
0.1,,,,,0.1,buy,69276.42,BTC-27MAR26-66000-P,55.24,0.05450241,0.0545,3,1770508406765,414258455,226
0.1,,,,,0.1,sell,69340.92,BTC-8FEB26-67000-C,77.03,0.034279,0.0345,1,1770508372141,414258294,183
1.0,,,,,1.0,buy,69317.76,BTC-9FEB26-74000-C,66.28,0.0007622,0.0009,1,1770508119107,414257969,270
3.0,,,,,3.0,buy,69307.01,BTC-27MAR26-85000-C,47.24,0.01108771,0.011,0,1770508090712,414257899,3375
10.0,,,,,10.0,sell,69313.17,BTC-9FEB26-73000-C,62.62,0.00135694,0.0015,0,1770508084432,414257880,274
0.1,,,,,0.1,sell,69220.45,BTC-9FEB26-61000-P,114.8,0.00102856,0.0009,2,1770508017100,414257796,179
0.2,,,,,0.2,sell,69218.15,BTC-27FEB26-60000-P,70.35,0.01597934,0.0155,3,1770507842568,414257771,2551
0.2,,,,,0.2,buy,69226.88,BTC-27FEB26-50000-P,96.77,0.00547656,0.006,0,1770507807720,414257765,2055
0.1,,,,,0.1,buy,69198.29,BTC-27MAR26-65000-P,56.1,0.05003031,0.05,2,1770507771160,414257731,3879
1.0,,,,,1.0,sell,69215.46,BTC-27FEB26-80000-C,50.61,0.00702046,0.0065,3,1770507747816,414257713,1506
0.3,,,,,0.3,sell,69228.21,BTC-27MAR26-84000-C,47.33,0.01302554,0.0125,1,1770507699618,414257705,601
0.3,,,,,0.3,buy,69203.65,BTC-27MAR26-90000-C,48.44,0.0060043,0.006,0,1770507621288,414257664,5175
0.1,,,,,0.1,sell,69158.75,BTC-24APR26-86000-C,46.87,0.02040171,0.02,0,1770507403785,414257535,828
