amount,block_rfq_id,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.2,,,,,,0.2,sell,75884.77,BTC-21APR26-75500-C,37.43,0.0076587,0.0075,1,1776729336272,426206387,193
1.6,,,,,,1.6,sell,75890.41,BTC-21APR26-78000-C,44.04,0.00015305,0.0001,3,1776729332098,426206383,183
0.1,,,,,,0.1,sell,75889.14,BTC-22APR26-79500-C,40.97,0.00041461,0.0003,3,1776729272394,426206359,21
0.1,,,,,,0.1,sell,75889.25,BTC-22APR26-80000-C,42.64,0.00030624,0.0002,2,1776729262082,426206358,56
25.0,,,,,,25.0,buy,75895.19,BTC-1MAY26-77000-C,40.68,0.02048436,0.0205,2,1776729238123,426206350,382
0.1,,,,,,0.1,sell,75895.37,BTC-1MAY26-60000-P,68.51,0.00078213,0.0008,0,1776729234086,426206349,406
0.1,,,,,,0.1,sell,75895.15,BTC-24APR26-84000-C,47.32,0.00022683,0.0002,2,1776729183860,426206347,1855
0.1,,,,,,0.1,buy,75885.59,BTC-23APR26-82000-C,44.7,0.00019364,0.0002,2,1776729161904,426206339,15
0.2,,,,,,0.2,sell,75891.85,BTC-21APR26-74500-P,45.85,0.00070178,0.0006,2,1776729082375,426206294,221
0.2,,,,,,0.2,buy,75891.05,BTC-22APR26-73000-P,53.58,0.00182834,0.0018,2,1776729005287,426206255,67
0.8,,,,,,0.8,sell,75899.13,BTC-25DEC26-120000-C,43.49,0.02363726,0.0235,3,1776728986570,426206238,1083
0.1,,,,,,0.1,sell,75899.13,BTC-29MAY26-65000-P,46.59,0.01130618,0.011,1,1776728986449,426206237,1011
0.1,,,,,,0.1,buy,75868.37,BTC-21APR26-76500-C,34.46,0.00136475,0.0013,0,1776728966826,426206205,167
0.1,,,,,,0.1,sell,75868.37,BTC-24APR26-76000-P,43.02,0.01759257,0.0175,1,1776728966307,426206204,771
